ID,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With
1974,omnivore,daily,wood,often,153,8,47,4,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']"
1975,pescatarian,more frequently,wood,often,158,6,35,19,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
1976,omnivore,twice a day,coal,never,155,12,0,9,Sometimes,['Plastic'],"['Stove', 'Microwave']"
1977,omnivore,less frequently,coal,often,85,20,6,18,Sometimes,['Glass'],['Oven']
1978,vegetarian,more frequently,wood,often,97,1,47,17,Yes,"['Paper', 'Plastic', 'Metal']",['Stove']
1979,vegetarian,twice a day,coal,never,134,20,23,23,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
1980,vegetarian,more frequently,coal,never,246,24,37,21,No,['Paper'],"['Stove', 'Microwave']"
1981,vegan,daily,natural gas,sometimes,160,3,33,21,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
1982,pescatarian,daily,coal,never,193,5,2,5,Yes,"['Paper', 'Plastic', 'Glass']",['Stove']
1983,omnivore,less frequently,electricity,sometimes,89,14,12,13,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']"
1984,omnivore,daily,coal,often,133,3,8,15,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']"
1985,vegetarian,more frequently,coal,sometimes,191,24,13,15,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']"
1986,omnivore,twice a day,wood,sometimes,262,15,46,24,Yes,"['Paper', 'Metal']","['Stove', 'Oven']"
1987,vegan,twice a day,coal,never,165,12,42,21,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']"
1988,vegan,twice a day,coal,never,126,7,32,13,Sometimes,['Glass'],"['Stove', 'Oven', 'Microwave']"
1989,pescatarian,less frequently,electricity,sometimes,259,13,7,17,Yes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
1990,omnivore,less frequently,coal,often,100,22,42,13,Sometimes,['Metal'],[]
1991,pescatarian,daily,wood,never,85,5,13,9,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
1992,vegetarian,less frequently,coal,sometimes,166,9,28,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
1993,vegetarian,less frequently,coal,often,242,22,12,20,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']"
1994,omnivore,daily,electricity,never,92,8,38,7,Sometimes,['Plastic'],"['Stove', 'Oven']"
1995,omnivore,twice a day,electricity,never,87,19,5,18,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']"
1996,omnivore,less frequently,electricity,never,164,24,50,16,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']"
1997,vegan,more frequently,natural gas,never,137,18,40,19,Sometimes,"['Paper', 'Glass']",['Oven']
1998,omnivore,twice a day,natural gas,often,292,22,8,6,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
1999,vegetarian,twice a day,natural gas,sometimes,201,1,36,23,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
2000,pescatarian,more frequently,wood,never,210,10,33,15,Yes,"['Paper', 'Glass']","['Stove', 'Microwave']"
2001,vegetarian,daily,wood,never,67,5,30,9,Sometimes,"['Paper', 'Glass', 'Metal']",['Oven']
2002,vegan,less frequently,electricity,sometimes,158,13,23,17,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave']
2003,vegetarian,less frequently,coal,sometimes,102,5,39,3,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2004,vegetarian,less frequently,natural gas,never,59,4,45,16,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2005,vegan,twice a day,coal,sometimes,289,14,34,17,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
2006,omnivore,more frequently,wood,sometimes,196,21,50,0,No,"['Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']"
2007,omnivore,more frequently,electricity,sometimes,280,13,13,5,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2008,omnivore,twice a day,coal,never,118,14,33,4,Yes,[],"['Grill', 'Airfryer']"
2009,vegetarian,daily,wood,often,205,19,31,12,Sometimes,['Metal'],['Oven']
2010,vegan,daily,coal,often,91,1,10,21,Yes,['Glass'],['Oven']
2011,vegetarian,twice a day,electricity,never,166,19,35,0,Sometimes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']"
2012,omnivore,daily,wood,often,287,6,38,18,Yes,['Glass'],"['Grill', 'Airfryer']"
2013,vegan,daily,electricity,often,72,17,29,15,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2014,vegan,less frequently,natural gas,never,179,23,23,0,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']"
2015,pescatarian,more frequently,wood,sometimes,71,8,49,13,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven']
2016,omnivore,less frequently,electricity,often,63,7,31,20,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
2017,pescatarian,daily,electricity,sometimes,97,0,33,18,No,"['Paper', 'Plastic']","['Stove', 'Microwave']"
2018,vegan,twice a day,wood,never,93,2,44,10,No,"['Paper', 'Plastic']",['Oven']
2019,pescatarian,less frequently,natural gas,sometimes,207,8,16,2,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']"
2020,vegan,daily,wood,never,291,18,5,20,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2021,vegetarian,daily,wood,sometimes,55,24,2,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2022,omnivore,daily,natural gas,never,165,15,16,16,Yes,['Plastic'],"['Stove', 'Oven']"
2023,pescatarian,more frequently,coal,never,185,14,31,5,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']"
2024,vegan,daily,electricity,often,150,7,0,2,Yes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
2025,pescatarian,twice a day,coal,often,157,24,15,5,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']"
2026,omnivore,more frequently,natural gas,often,73,17,25,21,Yes,[],"['Microwave', 'Grill', 'Airfryer']"
2027,vegan,more frequently,electricity,often,169,6,43,12,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2028,vegan,daily,wood,often,266,2,42,8,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2029,pescatarian,more frequently,wood,often,193,10,23,21,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2030,vegan,twice a day,wood,sometimes,245,20,0,14,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
2031,omnivore,daily,wood,never,210,14,27,17,No,"['Paper', 'Glass', 'Metal']",['Microwave']
2032,omnivore,more frequently,wood,often,243,20,11,3,No,"['Paper', 'Glass']","['Oven', 'Microwave']"
2033,pescatarian,twice a day,wood,sometimes,125,24,22,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2034,vegan,daily,coal,never,163,22,16,18,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2035,omnivore,twice a day,natural gas,never,56,13,1,21,Sometimes,['Paper'],['Stove']
2036,pescatarian,daily,wood,often,87,3,16,7,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2037,vegan,twice a day,wood,never,245,9,42,19,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
2038,pescatarian,daily,natural gas,often,297,0,40,7,Yes,['Metal'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
2039,vegetarian,less frequently,natural gas,never,53,20,50,16,No,"['Paper', 'Metal']",['Stove']
2040,vegan,more frequently,wood,often,137,6,16,10,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']"
2041,pescatarian,twice a day,wood,never,211,24,43,2,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']"
2042,pescatarian,daily,coal,never,253,9,22,16,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2043,omnivore,more frequently,electricity,often,205,16,21,21,No,['Paper'],"['Microwave', 'Grill', 'Airfryer']"
2044,pescatarian,twice a day,wood,often,77,22,11,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2045,vegan,daily,electricity,never,260,21,48,4,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2046,vegan,less frequently,wood,never,255,22,29,9,Yes,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']"
2047,omnivore,less frequently,electricity,often,169,7,22,13,Yes,['Paper'],['Stove']
2048,pescatarian,more frequently,wood,often,230,11,31,5,Yes,"['Plastic', 'Glass']",[]
2049,vegetarian,less frequently,wood,often,139,8,50,17,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
2050,pescatarian,twice a day,coal,never,235,16,34,3,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
2051,vegan,more frequently,coal,often,52,11,8,21,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']"
2052,omnivore,twice a day,wood,sometimes,134,11,34,5,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
2053,pescatarian,twice a day,wood,sometimes,273,15,47,6,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']"
2054,vegetarian,more frequently,wood,never,53,0,13,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
2055,vegetarian,more frequently,natural gas,often,50,13,42,18,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2056,pescatarian,more frequently,coal,often,172,8,32,10,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2057,pescatarian,more frequently,natural gas,sometimes,86,18,27,24,No,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']"
2058,omnivore,daily,wood,often,88,7,11,5,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
2059,vegetarian,twice a day,wood,often,193,10,22,4,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2060,omnivore,more frequently,coal,often,209,9,25,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']"
2061,vegan,more frequently,electricity,often,230,5,40,15,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2062,pescatarian,less frequently,wood,never,186,2,19,12,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']"
2063,pescatarian,twice a day,wood,never,267,14,21,19,Yes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2064,vegan,less frequently,natural gas,never,65,15,29,20,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave']"
2065,pescatarian,less frequently,wood,often,195,22,16,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2066,omnivore,twice a day,electricity,often,121,0,23,10,No,"['Plastic', 'Metal']","['Oven', 'Microwave']"
2067,pescatarian,more frequently,coal,sometimes,51,11,0,3,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2068,vegan,less frequently,coal,never,56,5,16,20,No,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']"
2069,vegan,more frequently,wood,often,67,20,10,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
2070,vegan,twice a day,electricity,often,210,21,18,21,No,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2071,omnivore,daily,coal,never,158,0,12,3,Sometimes,"['Paper', 'Glass', 'Metal']",['Stove']
2072,pescatarian,less frequently,electricity,sometimes,221,15,25,0,Yes,['Paper'],"['Stove', 'Oven']"
2073,vegan,less frequently,wood,often,154,7,27,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']"
2074,vegetarian,daily,coal,never,250,9,32,18,No,['Paper'],['Stove']
2075,vegetarian,daily,wood,never,87,21,34,2,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2076,vegetarian,less frequently,electricity,never,80,11,30,19,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove']
2077,vegan,twice a day,natural gas,never,175,7,18,7,Sometimes,['Metal'],[]
2078,pescatarian,less frequently,natural gas,sometimes,239,19,25,20,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']"
2079,pescatarian,daily,wood,sometimes,223,14,50,21,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2080,pescatarian,daily,electricity,sometimes,151,17,29,4,Yes,"['Paper', 'Plastic', 'Glass']",[]
2081,omnivore,more frequently,wood,sometimes,284,7,3,12,Sometimes,['Plastic'],"['Oven', 'Microwave']"
2082,vegan,daily,electricity,sometimes,164,8,11,18,No,"['Glass', 'Metal']",[]
2083,vegan,daily,electricity,often,110,11,3,22,No,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']"
2084,vegetarian,less frequently,electricity,sometimes,257,7,36,0,Yes,['Plastic'],['Oven']
2085,vegan,less frequently,wood,never,70,3,17,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2086,vegan,more frequently,coal,sometimes,258,12,15,9,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']"
2087,vegetarian,twice a day,electricity,never,76,9,25,17,No,['Paper'],['Microwave']
2088,omnivore,less frequently,electricity,sometimes,106,5,50,5,No,"['Paper', 'Plastic', 'Metal']",['Oven']
2089,vegetarian,less frequently,wood,sometimes,251,18,7,24,No,"['Plastic', 'Metal']",['Oven']
2090,vegetarian,twice a day,coal,never,125,14,35,8,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
2091,pescatarian,less frequently,natural gas,never,132,24,37,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']"
2092,vegan,daily,electricity,never,167,12,47,16,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']"
2093,vegan,twice a day,wood,never,274,9,32,20,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2094,vegan,daily,wood,never,93,7,21,22,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']"
2095,omnivore,less frequently,natural gas,never,215,13,39,12,No,"['Paper', 'Plastic', 'Metal']",[]
2096,omnivore,daily,coal,often,161,1,12,9,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2097,vegan,daily,electricity,often,68,12,10,14,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2098,vegetarian,twice a day,coal,often,61,1,23,17,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
2099,vegetarian,less frequently,electricity,often,135,19,31,5,No,"['Plastic', 'Metal']",[]
2100,pescatarian,more frequently,wood,sometimes,140,3,40,8,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2101,vegan,more frequently,natural gas,often,118,21,41,18,Yes,"['Paper', 'Plastic', 'Metal']",['Oven']
2102,vegan,twice a day,wood,sometimes,106,19,30,18,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']"
2103,vegan,less frequently,coal,often,156,6,22,17,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2104,omnivore,twice a day,natural gas,never,269,5,26,7,Sometimes,"['Paper', 'Metal']",[]
2105,omnivore,twice a day,wood,sometimes,239,21,38,1,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2106,pescatarian,twice a day,electricity,often,127,23,8,6,Yes,"['Paper', 'Plastic', 'Glass']",['Oven']
2107,pescatarian,more frequently,electricity,never,200,21,37,22,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2108,vegetarian,less frequently,natural gas,often,256,15,13,2,No,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']"
2109,omnivore,daily,electricity,often,189,23,38,16,Yes,"['Paper', 'Plastic']",[]
2110,vegan,less frequently,wood,never,80,22,13,10,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2111,vegan,twice a day,wood,often,116,14,20,20,Yes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
2112,pescatarian,twice a day,natural gas,never,238,8,33,14,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2113,pescatarian,more frequently,coal,often,166,23,34,7,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2114,vegan,daily,natural gas,never,105,1,28,12,Sometimes,['Plastic'],['Stove']
2115,pescatarian,twice a day,coal,sometimes,288,15,21,5,Sometimes,"['Paper', 'Glass']",['Microwave']
2116,vegan,daily,natural gas,often,163,22,8,12,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2117,omnivore,daily,electricity,often,271,11,18,24,Yes,['Metal'],[]
2118,pescatarian,less frequently,electricity,sometimes,158,11,5,3,Sometimes,"['Plastic', 'Glass']",['Stove']
2119,vegan,daily,natural gas,sometimes,242,18,5,21,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2120,vegan,less frequently,natural gas,never,199,11,21,9,Yes,['Glass'],[]
2121,pescatarian,twice a day,natural gas,never,267,0,34,4,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2122,omnivore,more frequently,natural gas,sometimes,52,17,0,5,Sometimes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2123,pescatarian,more frequently,electricity,sometimes,158,10,25,11,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2124,omnivore,more frequently,natural gas,never,229,5,40,21,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2125,omnivore,less frequently,electricity,never,68,1,50,19,No,"['Paper', 'Metal']",['Stove']
2126,vegan,less frequently,electricity,sometimes,254,22,13,0,Yes,"['Paper', 'Plastic', 'Metal']",['Microwave']
2127,vegetarian,more frequently,coal,sometimes,146,9,13,13,No,"['Paper', 'Plastic']","['Oven', 'Microwave']"
2128,pescatarian,twice a day,natural gas,never,267,0,48,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove']
2129,pescatarian,less frequently,wood,never,73,18,21,24,Sometimes,"['Paper', 'Plastic', 'Glass']",['Microwave']
2130,vegetarian,less frequently,wood,sometimes,113,12,6,12,Yes,"['Paper', 'Metal']","['Stove', 'Microwave']"
2131,vegan,daily,natural gas,sometimes,147,16,2,8,Sometimes,['Paper'],"['Oven', 'Microwave']"
2132,vegan,daily,natural gas,sometimes,289,8,36,17,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']"
2133,pescatarian,twice a day,natural gas,often,211,3,46,2,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
2134,vegan,more frequently,coal,sometimes,223,0,37,16,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']"
2135,omnivore,twice a day,natural gas,sometimes,147,11,12,24,Yes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2136,vegan,twice a day,electricity,never,112,12,18,12,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave']
2137,omnivore,more frequently,natural gas,often,245,4,4,13,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
2138,pescatarian,less frequently,natural gas,often,207,13,0,11,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2139,pescatarian,less frequently,electricity,never,162,9,22,9,No,"['Plastic', 'Glass']",['Microwave']
2140,pescatarian,less frequently,electricity,often,163,22,29,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove']
2141,pescatarian,less frequently,natural gas,often,148,3,48,3,Sometimes,"['Paper', 'Glass', 'Metal']",[]
2142,pescatarian,daily,electricity,never,170,23,42,12,No,['Plastic'],"['Grill', 'Airfryer']"
2143,vegetarian,daily,wood,often,175,8,35,16,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2144,pescatarian,daily,natural gas,often,239,24,36,8,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
2145,omnivore,daily,wood,often,97,17,28,14,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']"
2146,pescatarian,less frequently,natural gas,never,120,0,21,6,Sometimes,[],"['Stove', 'Oven']"
2147,vegan,daily,electricity,never,144,21,35,3,Sometimes,['Paper'],"['Stove', 'Oven']"
2148,vegan,more frequently,wood,often,214,13,14,7,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']"
2149,vegan,daily,wood,sometimes,128,10,32,17,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']"
2150,vegan,more frequently,wood,never,186,11,22,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2151,vegetarian,less frequently,wood,never,213,12,12,13,Yes,"['Paper', 'Plastic']","['Stove', 'Microwave']"
2152,vegetarian,less frequently,coal,never,57,1,8,2,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
2153,vegetarian,more frequently,natural gas,often,141,22,30,17,No,"['Paper', 'Glass', 'Metal']",['Oven']
2154,vegan,twice a day,coal,never,121,5,34,22,Yes,"['Paper', 'Plastic', 'Metal']",[]
2155,vegetarian,less frequently,natural gas,often,205,9,5,4,No,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2156,vegan,twice a day,natural gas,often,136,1,30,13,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']"
2157,vegan,twice a day,wood,often,76,14,49,2,No,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']"
2158,pescatarian,daily,natural gas,never,165,24,12,3,Sometimes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2159,vegan,twice a day,natural gas,often,142,10,41,15,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']"
2160,pescatarian,less frequently,electricity,sometimes,163,20,22,19,No,[],"['Oven', 'Grill', 'Airfryer']"
2161,omnivore,less frequently,natural gas,sometimes,112,4,3,12,Sometimes,['Plastic'],"['Oven', 'Grill', 'Airfryer']"
2162,pescatarian,less frequently,natural gas,never,77,10,42,22,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave']
2163,vegetarian,less frequently,electricity,never,180,8,2,2,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2164,vegan,less frequently,natural gas,sometimes,75,17,2,22,Yes,"['Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']"
2165,pescatarian,more frequently,coal,sometimes,163,15,14,3,No,"['Paper', 'Glass', 'Metal']",['Stove']
2166,vegan,more frequently,coal,often,99,14,35,22,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']"
2167,omnivore,less frequently,coal,never,188,0,41,5,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2168,pescatarian,less frequently,wood,never,298,22,38,24,No,[],"['Stove', 'Oven', 'Microwave']"
2169,vegetarian,twice a day,electricity,never,215,12,17,7,Yes,[],['Microwave']
2170,vegetarian,twice a day,electricity,often,237,18,7,17,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2171,vegetarian,less frequently,natural gas,sometimes,118,23,10,10,No,['Plastic'],"['Microwave', 'Grill', 'Airfryer']"
2172,pescatarian,more frequently,natural gas,sometimes,211,17,34,10,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']"
2173,vegetarian,twice a day,natural gas,never,123,9,26,7,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']"
2174,vegetarian,less frequently,natural gas,sometimes,269,2,11,12,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']"
2175,vegetarian,daily,natural gas,sometimes,258,9,34,21,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
2176,omnivore,less frequently,natural gas,sometimes,170,17,44,3,Yes,['Glass'],['Oven']
2177,omnivore,twice a day,electricity,often,80,6,48,4,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']"
2178,omnivore,more frequently,coal,sometimes,145,20,43,11,Sometimes,['Metal'],['Oven']
2179,vegan,daily,wood,never,151,24,47,19,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']"
2180,omnivore,less frequently,coal,often,76,14,15,7,Yes,"['Glass', 'Metal']",['Oven']
2181,pescatarian,less frequently,coal,never,113,24,33,14,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']"
2182,pescatarian,more frequently,electricity,often,192,3,34,19,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']"
2183,vegetarian,more frequently,coal,never,295,2,6,2,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']"
2184,omnivore,more frequently,natural gas,sometimes,242,22,36,22,No,"['Paper', 'Plastic']",['Stove']
2185,pescatarian,twice a day,natural gas,often,77,24,45,23,No,"['Paper', 'Plastic', 'Metal']",['Oven']
2186,vegan,more frequently,electricity,often,99,24,39,15,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']"
2187,omnivore,twice a day,wood,never,195,15,2,21,No,"['Paper', 'Plastic']","['Oven', 'Microwave']"
2188,omnivore,twice a day,electricity,often,117,12,0,20,No,['Glass'],"['Stove', 'Microwave']"
2189,vegetarian,less frequently,electricity,often,74,12,17,10,No,"['Paper', 'Glass', 'Metal']",['Microwave']
2190,omnivore,daily,wood,often,143,13,22,22,No,"['Plastic', 'Glass']","['Grill', 'Airfryer']"
2191,pescatarian,more frequently,coal,sometimes,140,16,19,3,Yes,[],"['Microwave', 'Grill', 'Airfryer']"
2192,vegan,daily,natural gas,never,178,21,28,11,Yes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']"
