ID,Waste Bag Size,Waste Bag Weekly Count
1935,small,6
1936,large,6
1937,medium,7
1938,large,2
1939,large,3
1940,large,7
1941,large,2
1942,small,1
1943,extra large,6
1944,small,4
1945,small,6
1946,medium,4
1947,large,1
1948,small,4
1949,large,5
1950,extra large,4
1951,extra large,5
1952,small,6
1953,small,5
1954,extra large,6
1955,extra large,6
1956,medium,3
1957,large,2
1958,medium,1
1959,large,3
1960,large,7
1961,extra large,3
1962,small,2
1963,medium,2
1964,medium,5
1965,small,7
1966,extra large,2
1967,small,4
1968,small,7
1969,large,3
1970,extra large,5
1971,medium,2
1972,extra large,3
1973,large,3
1974,small,2
1975,small,4
1976,extra large,7
1977,large,4
1978,medium,3
1979,large,3
1980,extra large,6
1981,small,4
1982,medium,1
1983,medium,2
1984,large,1
1985,extra large,4
1986,extra large,1
1987,medium,1
1988,large,1
1989,medium,3
1990,medium,2
1991,extra large,3
1992,small,4
1993,large,6
1994,large,2
1995,small,5
1996,small,2
1997,small,3
1998,large,7
1999,small,2
2000,small,2
2001,extra large,3
2002,small,6
2003,medium,2
2004,large,6
2005,extra large,5
2006,small,6
2007,extra large,2
2008,large,1
2009,medium,7
2010,extra large,5
2011,extra large,5
2012,large,5
2013,extra large,1
2014,small,4
2015,small,4
2016,large,7
2017,large,3
2018,small,3
2019,medium,5
2020,small,6
2021,small,7
2022,extra large,3
2023,small,1
2024,extra large,5
2025,medium,2
2026,medium,4
2027,extra large,6
2028,extra large,5
2029,medium,3
2030,large,2
2031,medium,3
2032,medium,3
2033,large,4
2034,extra large,1
2035,small,2
2036,large,1
2037,small,4
2038,medium,1
2039,extra large,5
2040,small,5
2041,extra large,4
2042,small,4
2043,medium,2
2044,small,1
2045,extra large,7
2046,extra large,6
2047,extra large,7
2048,extra large,1
2049,large,3
2050,small,4
2051,small,4
2052,extra large,6
2053,medium,2
2054,small,4
2055,medium,4
2056,small,1
2057,extra large,6
2058,small,2
2059,large,7
2060,medium,4
2061,large,2
2062,extra large,2
2063,large,6
2064,medium,5
2065,small,2
2066,medium,1
2067,extra large,5
2068,medium,4
2069,medium,5
2070,small,1
2071,small,3
2072,small,2
2073,small,3
2074,extra large,3
2075,small,4
2076,small,7
2077,large,3
2078,small,1
2079,medium,4
2080,extra large,3
2081,extra large,1
2082,large,4
2083,large,7
2084,medium,4
2085,large,7
2086,medium,6
2087,medium,7
2088,medium,4
2089,small,3
2090,extra large,7
2091,extra large,7
2092,extra large,4
2093,large,3
2094,large,2
2095,large,1
2096,medium,5
2097,medium,4
2098,small,7
2099,extra large,3
2100,small,7
2101,large,5
2102,large,5
2103,extra large,5
2104,large,5
2105,extra large,2
2106,small,4
2107,medium,5
2108,extra large,7
2109,extra large,3
2110,large,6
2111,medium,2
2112,extra large,1
2113,large,1
2114,medium,2
2115,medium,6
2116,large,6
2117,extra large,7
2118,small,2
2119,small,1
2120,medium,1
2121,medium,5
2122,extra large,6
2123,extra large,7
2124,large,1
2125,extra large,5
2126,extra large,1
2127,small,6
2128,medium,7
2129,medium,5
2130,small,2
2131,large,1
2132,medium,3
2133,small,3
2134,extra large,1
2135,medium,2
2136,small,5
2137,large,6
2138,small,3
2139,large,1
2140,extra large,1
2141,small,6
2142,large,4
2143,small,3
2144,medium,4
2145,small,3
2146,small,7
2147,small,6
2148,small,1
2149,large,5
2150,medium,5
2151,extra large,2
2152,medium,4
2153,extra large,3
2154,small,7
2155,medium,5
2156,large,5
2157,small,1
2158,small,4
2159,medium,1
2160,medium,6
2161,medium,3
2162,large,3
2163,extra large,6
2164,medium,4
2165,medium,6
2166,medium,4
2167,medium,4
2168,small,7
2169,extra large,3
2170,extra large,4
2171,medium,5
2172,large,3
2173,small,7
2174,large,2
2175,medium,4
2176,small,1
2177,extra large,4
2178,medium,6
2179,medium,4
2180,medium,4
2181,medium,4
2182,large,7
2183,extra large,4
2184,extra large,7
2185,large,2
2186,extra large,1
2187,large,7
2188,small,6
2189,extra large,1
2190,medium,7
2191,large,4
2192,extra large,3
2193,medium,1
2194,medium,6
2195,extra large,5
2196,large,6
2197,small,5
2198,extra large,2
2199,medium,2
2200,large,6
2201,large,4
2202,large,5
2203,large,1
2204,medium,2
2205,extra large,3
2206,large,4
2207,extra large,6
2208,large,1
2209,extra large,4
2210,extra large,5
2211,medium,1
2212,medium,1
2213,small,1
2214,large,6
2215,large,7
2216,extra large,5
2217,extra large,6
2218,medium,7
2219,large,5
2220,small,3
2221,medium,5
2222,medium,4
2223,medium,2
2224,small,5
2225,large,5
2226,extra large,2
2227,extra large,6
2228,small,6
2229,large,1
2230,large,2
2231,extra large,4
2232,small,5
2233,small,5
2234,medium,7
2235,large,2
2236,extra large,7
2237,large,4
2238,large,4
2239,extra large,6
2240,medium,3
2241,extra large,1
2242,extra large,4
2243,small,3
2244,large,1
2245,small,6
2246,large,3
2247,small,6
2248,large,7
2249,large,3
2250,small,7
2251,medium,2
2252,extra large,5
2253,medium,2
2254,small,5
2255,medium,1
2256,medium,6
2257,large,7
2258,small,5
2259,extra large,1
2260,extra large,6
2261,large,5
2262,small,1
2263,large,1
2264,medium,4
2265,extra large,4
2266,large,3
2267,extra large,6
2268,medium,3
2269,large,7
2270,medium,1
2271,small,1
2272,medium,4
2273,small,5
2274,large,4
2275,extra large,4
2276,large,5
2277,small,2
2278,extra large,5
2279,medium,6
2280,small,7
2281,large,4
2282,extra large,6
2283,large,3
2284,large,2
2285,small,6
2286,medium,7
2287,large,6
2288,extra large,4
2289,small,3
2290,large,4
2291,extra large,2
2292,large,7
2293,extra large,3
2294,medium,7
2295,extra large,2
2296,medium,5
2297,large,7
2298,medium,5
2299,small,4
2300,extra large,2
2301,large,5
2302,small,5
2303,small,2
2304,small,4
2305,extra large,6
2306,small,3
2307,extra large,6
2308,small,1
2309,large,4
2310,small,4
2311,extra large,6
2312,extra large,1
2313,large,7
2314,medium,7
2315,small,2
2316,medium,6
2317,large,3
2318,extra large,7
2319,large,5
2320,extra large,7
2321,large,7
2322,large,1
2323,extra large,7
2324,medium,2
2325,small,3
2326,large,6
2327,medium,7
2328,medium,5
2329,large,5
2330,medium,4
2331,small,3
2332,extra large,2
2333,large,4
2334,small,2
2335,large,7
2336,medium,4
2337,large,1
2338,large,2
2339,large,6
2340,large,4
2341,small,2
2342,large,5
2343,medium,4
2344,large,7
2345,medium,6
2346,small,1
2347,large,6
2348,extra large,5
2349,medium,2
2350,small,2
2351,medium,7
2352,extra large,6
2353,extra large,7
2354,small,7
2355,small,1
2356,large,2
2357,medium,1
2358,large,2
2359,medium,5
2360,extra large,5
2361,medium,1
2362,large,2
2363,extra large,2
2364,large,4
2365,medium,5
2366,extra large,3
2367,small,4
2368,small,5
2369,extra large,6
2370,small,4
2371,large,6
2372,small,2
2373,small,2
2374,small,6
2375,small,5
2376,large,3
2377,small,2
2378,small,2
2379,medium,5
2380,extra large,6
2381,extra large,2
2382,medium,1
2383,small,1
2384,extra large,5
2385,small,2
2386,medium,4
2387,small,6
2388,large,6
2389,small,2
2390,small,7
2391,large,1
2392,extra large,3
2393,extra large,7
2394,extra large,2
2395,medium,4
2396,small,7
2397,small,4
2398,medium,7
2399,small,1
2400,extra large,2
2401,large,5
2402,extra large,6
2403,medium,6
2404,medium,5
2405,small,3
2406,medium,6
2407,large,3
2408,medium,5
2409,medium,2
2410,small,5
2411,large,3
2412,large,3
2413,large,4
2414,small,3
2415,large,7
2416,medium,7
2417,medium,6
2418,large,3
2419,medium,3
2420,extra large,7
2421,small,1
2422,medium,1
2423,small,2
2424,medium,4
2425,large,3
2426,large,3
2427,small,4
2428,extra large,6
2429,medium,6
2430,small,3
2431,small,2
2432,extra large,6
2433,large,5
2434,small,1
2435,medium,4
2436,extra large,6
2437,large,1
2438,medium,6
2439,extra large,1
2440,medium,4
2441,small,5
2442,large,6
2443,medium,5
2444,large,5
2445,extra large,1
2446,extra large,2
2447,medium,1
2448,large,1
2449,small,5
2450,small,1
2451,medium,3
2452,large,7
2453,large,5
2454,medium,1
2455,small,7
2456,medium,6
2457,extra large,4
2458,extra large,2
2459,medium,4
2460,small,7
2461,small,5
2462,large,1
2463,small,7
2464,extra large,7
2465,small,5
2466,large,2
2467,large,7
2468,large,5
2469,medium,3
2470,small,5
2471,large,5
2472,medium,3
2473,extra large,6
2474,small,3
2475,small,5
2476,large,6
2477,medium,3
2478,extra large,6
2479,large,5
2480,large,7
2481,medium,1
2482,extra large,4
2483,small,7
2484,small,6
2485,large,6
2486,large,6
2487,extra large,4
2488,medium,4
2489,small,7
2490,medium,4
2491,extra large,7
2492,medium,1
2493,extra large,5
2494,medium,1
2495,medium,4
2496,extra large,3
2497,small,3
2498,large,7
2499,small,2
2500,small,3
2501,medium,1
2502,large,4
2503,small,5
2504,extra large,1
2505,large,1
2506,extra large,5
2507,large,2
2508,large,7
2509,large,4
2510,small,3
2511,small,2
2512,small,1
2513,small,7
2514,medium,3
2515,extra large,4
2516,large,6
2517,extra large,2
2518,medium,1
2519,large,5
2520,extra large,7
2521,medium,5
2522,large,4
2523,extra large,7
2524,medium,5
2525,extra large,3
2526,small,5
2527,medium,6
2528,large,7
2529,small,3
2530,medium,6
2531,medium,6
2532,large,6
2533,medium,1
2534,extra large,6
2535,small,6
2536,medium,5
2537,extra large,4
2538,medium,2
2539,large,3
2540,medium,6
2541,large,4
2542,small,1
2543,small,1
2544,extra large,1
2545,small,2
2546,small,6
2547,large,5
2548,extra large,3
2549,small,5
2550,medium,5
2551,large,1
2552,extra large,6
2553,large,5
2554,large,1
2555,medium,7
2556,extra large,4
2557,extra large,4
2558,medium,4
2559,large,1
2560,medium,5
2561,extra large,6
2562,large,1
2563,large,2
2564,medium,2
2565,small,3
2566,small,1
2567,medium,1
2568,medium,3
2569,medium,5
2570,small,7
2571,large,3
2572,extra large,1
2573,large,2
2574,large,7
2575,extra large,6
2576,small,5
2577,extra large,1
2578,extra large,7
2579,large,2
2580,medium,5
2581,extra large,2
2582,extra large,6
2583,medium,2
2584,medium,6
2585,small,5
2586,medium,1
2587,extra large,3
2588,small,4
2589,extra large,2
2590,medium,3
2591,small,4
2592,large,7
2593,medium,7
2594,large,7
2595,extra large,4
2596,medium,7
2597,small,7
2598,small,1
2599,extra large,2
2600,small,5
2601,extra large,5
2602,medium,6
2603,small,2
2604,medium,3
2605,medium,1
2606,large,3
2607,large,5
2608,small,4
2609,extra large,3
2610,medium,4
2611,small,2
2612,small,2
2613,extra large,1
2614,medium,4
2615,large,3
2616,small,7
2617,large,6
2618,large,7
2619,large,1
2620,small,4
2621,medium,6
2622,large,3
2623,small,1
2624,medium,6
2625,small,3
2626,small,1
2627,extra large,4
2628,extra large,6
2629,medium,2
2630,extra large,1
2631,medium,5
2632,medium,2
2633,medium,6
2634,large,5
2635,extra large,4
2636,small,3
2637,medium,2
2638,medium,5
2639,large,1
2640,extra large,2
2641,small,5
2642,small,5
2643,small,3
2644,extra large,7
2645,small,1
2646,large,7
2647,large,2
2648,small,1
2649,small,6
2650,extra large,3
2651,small,5
2652,medium,1
2653,large,2
2654,extra large,1
2655,small,5
2656,large,3
2657,medium,7
2658,small,2
2659,extra large,3
2660,small,6
2661,medium,7
2662,small,6
2663,small,7
2664,large,4
2665,medium,3
2666,medium,2
2667,large,7
2668,medium,5
2669,small,2
2670,medium,2
2671,small,5
2672,extra large,6
2673,small,7
2674,large,4
2675,large,2
2676,large,3
2677,small,7
2678,extra large,6
2679,large,7
2680,extra large,3
2681,medium,2
2682,extra large,1
2683,large,2
2684,extra large,1
2685,small,4
2686,small,6
2687,medium,1
2688,small,4
2689,small,3
2690,large,7
2691,extra large,2
2692,medium,6
2693,medium,7
2694,large,3
2695,small,5
2696,medium,7
2697,medium,6
2698,medium,7
2699,extra large,5
2700,extra large,3
2701,small,3
2702,extra large,6
2703,large,2
2704,medium,6
2705,extra large,1
2706,small,6
2707,small,5
2708,small,7
2709,extra large,3
2710,large,3
2711,extra large,7
2712,small,7
2713,large,1
2714,medium,4
2715,small,7
2716,small,5
2717,extra large,5
2718,small,4
2719,extra large,4
2720,small,4
2721,extra large,3
2722,small,1
2723,extra large,5
2724,large,2
2725,large,2
2726,medium,4
2727,small,3
2728,large,4
2729,medium,2
2730,small,1
2731,medium,3
2732,medium,1
2733,small,6
2734,extra large,7
2735,small,7
2736,small,4
2737,medium,3
2738,medium,1
2739,large,2
2740,large,2
2741,small,5
2742,extra large,3
2743,medium,3
2744,small,4
2745,extra large,2
2746,medium,7
2747,medium,6
2748,large,2
2749,medium,4
2750,extra large,1
2751,small,4
2752,small,4
2753,extra large,7
2754,extra large,1
2755,medium,4
2756,large,1
2757,large,6
2758,medium,7
2759,small,3
2760,large,2
2761,small,7
2762,small,2
2763,large,4
2764,small,3
2765,small,6
2766,large,2
2767,extra large,1
2768,small,1
2769,extra large,7
2770,medium,6
2771,large,5
2772,extra large,5
2773,extra large,3
2774,small,1
2775,small,2
2776,medium,4
2777,extra large,4
2778,large,6
2779,small,7
2780,large,7
2781,large,1
2782,extra large,6
2783,small,1
2784,small,6
2785,small,4
2786,large,4
2787,small,4
2788,small,1
2789,extra large,7
2790,small,3
2791,small,7
2792,extra large,1
2793,large,4
2794,medium,6
2795,medium,7
2796,large,1
2797,medium,2
2798,large,3
2799,medium,2
2800,small,1
2801,medium,7
2802,extra large,6
2803,extra large,4
2804,small,1
2805,extra large,5
2806,medium,2
2807,medium,4
2808,small,6
2809,small,3
2810,medium,2
2811,small,3
2812,extra large,5
2813,large,7
2814,medium,5
2815,small,5
2816,extra large,7
2817,large,6
2818,extra large,4
2819,small,7
2820,extra large,5
2821,medium,3
2822,small,5
2823,medium,3
2824,small,1
2825,extra large,3
2826,large,1
2827,extra large,2
2828,medium,2
2829,large,7
2830,large,3
2831,medium,7
2832,large,4
2833,extra large,7
2834,extra large,1
2835,large,7
2836,extra large,7
2837,small,7
2838,extra large,4
2839,extra large,6
2840,small,1
2841,medium,1
2842,medium,5
2843,small,3
2844,medium,4
2845,extra large,3
2846,large,7
2847,extra large,1
2848,small,5
2849,large,6
2850,large,5
2851,medium,7
2852,medium,2
2853,medium,7
2854,medium,4
2855,extra large,2
2856,small,3
2857,small,3
2858,medium,2
2859,large,7
2860,large,7
2861,small,7
2862,small,7
2863,large,1
2864,large,1
2865,extra large,6
2866,medium,2
2867,small,3
2868,extra large,4
2869,large,7
2870,small,6
2871,medium,7
2872,medium,4
2873,medium,5
2874,medium,7
2875,medium,2
2876,extra large,4
2877,large,5
2878,small,4
2879,small,3
2880,extra large,6
2881,medium,2
2882,large,7
2883,large,3
2884,small,5
2885,large,2
2886,medium,1
2887,large,2
2888,extra large,3
2889,large,3
2890,large,7
2891,medium,4
2892,large,7
2893,extra large,7
2894,medium,6
2895,large,3
2896,extra large,5
2897,medium,3
2898,large,6
2899,large,5
2900,medium,2
2901,large,3
2902,small,2
2903,small,7
2904,small,2
2905,small,1
2906,small,7
2907,extra large,7
2908,large,6
2909,large,4
2910,small,5
2911,extra large,3
2912,extra large,7
2913,large,3
2914,large,5
2915,large,1
2916,medium,5
2917,medium,6
2918,small,4
2919,extra large,7
2920,large,4
2921,medium,7
2922,medium,6
2923,medium,7
2924,medium,7
2925,small,5
2926,large,3
2927,large,2
2928,medium,6
2929,extra large,7
2930,large,6
2931,extra large,3
2932,large,3
2933,large,7
2934,extra large,4
2935,extra large,6
2936,medium,1
2937,small,1
2938,small,2
2939,medium,7
2940,medium,4
2941,large,5
2942,small,2
2943,small,7
2944,extra large,3
2945,large,1
2946,small,3
2947,extra large,3
2948,large,2
2949,small,5
2950,large,3
2951,small,4
2952,small,4
2953,small,7
2954,small,2
2955,small,6
2956,extra large,7
2957,extra large,3
2958,large,3
2959,large,6
2960,small,5
2961,large,4
2962,large,5
2963,extra large,7
2964,medium,3
2965,medium,2
2966,large,2
2967,small,1
2968,extra large,5
2969,small,1
2970,large,1
2971,extra large,2
2972,extra large,2
2973,extra large,7
2974,large,4
2975,large,7
2976,small,3
2977,large,2
2978,large,4
2979,extra large,3
2980,large,1
2981,extra large,4
2982,large,7
2983,medium,6
2984,medium,6
2985,extra large,5
2986,medium,7
2987,extra large,7
2988,small,1
2989,small,3
2990,small,3
2991,large,3
2992,extra large,1
2993,extra large,6
2994,extra large,6
2995,extra large,4
2996,small,3
2997,small,1
2998,medium,3
2999,small,7
3000,medium,7
3001,medium,2
3002,small,1
3003,small,5
3004,large,3
3005,large,6
3006,small,1
3007,small,1
3008,large,2
3009,medium,6
3010,medium,6
3011,large,3
3012,large,5
3013,large,7
3014,medium,3
3015,extra large,5
3016,large,1
3017,extra large,7
3018,medium,7
3019,large,5
3020,small,4
3021,small,4
3022,large,6
3023,small,1
3024,medium,5
3025,medium,7
3026,extra large,5
3027,extra large,1
3028,medium,5
3029,large,4
3030,medium,4
3031,extra large,5
3032,medium,6
3033,extra large,6
3034,small,1
3035,small,3
3036,small,4
3037,medium,5
3038,medium,3
3039,large,6
3040,small,3
3041,extra large,7
3042,large,4
3043,medium,3
3044,large,6
3045,medium,6
3046,small,5
3047,small,6
3048,large,4
3049,large,3
3050,small,3
3051,small,2
3052,medium,1
3053,small,3
3054,medium,7
3055,small,3
3056,extra large,5
3057,small,4
3058,medium,5
3059,large,1
3060,small,1
3061,medium,5
3062,extra large,2
3063,medium,6
3064,small,5
3065,extra large,5
3066,large,7
3067,extra large,3
3068,extra large,6
3069,extra large,4
3070,extra large,6
3071,medium,3
3072,extra large,7
3073,extra large,5
3074,medium,2
3075,large,1
3076,large,5
3077,large,4
3078,small,7
3079,small,7
3080,small,4
3081,extra large,3
3082,large,6
3083,medium,2
3084,small,7
3085,medium,4
3086,small,7
3087,large,4
3088,medium,6
3089,medium,6
3090,small,5
3091,extra large,2
3092,extra large,5
3093,large,5
3094,large,4
3095,large,4
3096,small,6
3097,extra large,7
3098,large,7
3099,small,2
3100,large,3
3101,extra large,3
3102,large,2
3103,extra large,3
3104,large,3
3105,small,5
3106,small,4
3107,small,3
3108,medium,1
3109,medium,4
3110,extra large,1
3111,large,7
3112,extra large,7
3113,medium,4
3114,large,1
3115,medium,5
3116,extra large,4
3117,extra large,7
3118,large,5
3119,extra large,4
3120,medium,7
3121,medium,1
3122,large,2
3123,large,2
3124,medium,5
3125,extra large,1
3126,large,3
3127,small,3
3128,medium,2
3129,extra large,3
3130,medium,4
3131,medium,7
3132,extra large,3
3133,large,6
3134,small,3
3135,extra large,7
3136,large,1
3137,extra large,6
3138,large,2
3139,small,6
3140,small,2
3141,medium,7
3142,extra large,7
3143,extra large,3
3144,extra large,1
3145,extra large,6
3146,small,7
3147,extra large,7
3148,small,4
3149,extra large,4
3150,large,2
3151,medium,3
3152,large,1
3153,large,4
3154,medium,3
3155,small,6
3156,large,4
3157,large,1
3158,large,3
3159,extra large,5
3160,extra large,6
3161,large,6
3162,extra large,2
3163,large,3
3164,large,2
3165,small,1
3166,small,1
3167,medium,4
3168,medium,5
3169,extra large,1
3170,small,7
3171,large,3
3172,medium,6
3173,medium,4
3174,small,3
3175,extra large,6
3176,small,3
3177,large,2
3178,medium,3
3179,medium,4
3180,extra large,1
3181,large,6
3182,small,1
3183,large,7
3184,small,4
3185,small,5
3186,small,3
3187,small,3
3188,large,7
3189,extra large,2
3190,large,2
3191,small,2
3192,extra large,1
3193,extra large,6
3194,large,1
3195,medium,4
3196,large,5
3197,medium,2
3198,medium,5
3199,large,1
3200,large,7
3201,extra large,3
3202,large,2
3203,small,7
3204,extra large,6
3205,large,2
3206,small,3
3207,extra large,5
3208,large,1
3209,extra large,3
3210,large,2
3211,extra large,7
3212,medium,6
3213,medium,7
3214,large,4
3215,medium,6
3216,small,3
3217,large,3
3218,extra large,2
3219,large,4
3220,extra large,7
3221,large,3
3222,extra large,6
3223,medium,7
3224,medium,1
3225,medium,6
3226,large,2
3227,medium,4
3228,medium,7
3229,medium,7
3230,extra large,6
3231,medium,6
3232,large,2
3233,medium,7
3234,large,4
3235,extra large,2
3236,extra large,6
3237,small,7
3238,large,5
3239,medium,4
3240,large,7
3241,extra large,3
3242,small,4
3243,extra large,5
3244,extra large,3
3245,medium,6
3246,large,6
3247,medium,4
3248,small,5
3249,extra large,1
3250,medium,1
3251,large,4
3252,small,2
3253,small,4
3254,large,4
3255,large,7
3256,small,6
3257,large,6
3258,medium,3
3259,medium,3
3260,extra large,1
3261,extra large,5
3262,medium,3
3263,large,4
3264,large,2
3265,extra large,2
3266,large,1
3267,large,6
3268,small,6
3269,small,3
3270,large,5
3271,small,5
3272,extra large,5
3273,large,4
3274,large,4
3275,medium,2
3276,extra large,7
3277,small,4
3278,extra large,2
3279,large,4
3280,extra large,3
3281,extra large,4
3282,medium,1
3283,large,6
3284,large,5
3285,small,5
3286,extra large,2
3287,medium,1
3288,small,6
3289,medium,3
3290,medium,7
3291,small,5
3292,medium,3
3293,small,6
3294,extra large,7
3295,medium,6
3296,medium,6
3297,medium,4
3298,medium,4
3299,large,4
3300,medium,2
3301,medium,4
3302,medium,3
3303,medium,2
3304,medium,1
3305,extra large,1
3306,medium,5
3307,extra large,2
3308,large,3
3309,large,3
3310,small,1
3311,large,2
3312,extra large,2
3313,small,5
3314,large,1
3315,large,3
3316,small,4
3317,medium,4
3318,extra large,2
3319,extra large,2
3320,large,2
3321,small,3
3322,large,1
3323,medium,1
3324,medium,3
3325,extra large,7
3326,small,4
3327,large,4
3328,large,3
3329,extra large,6
3330,large,7
3331,small,2
3332,extra large,4
3333,small,3
3334,medium,1
3335,extra large,3
3336,small,2
3337,small,3
3338,large,3
3339,small,7
3340,medium,3
3341,medium,5
3342,medium,3
3343,large,3
3344,medium,6
3345,large,7
3346,small,2
3347,extra large,6
3348,large,5
3349,medium,5
3350,large,7
3351,small,5
3352,extra large,4
3353,medium,2
3354,medium,6
3355,small,7
3356,medium,1
3357,extra large,6
3358,medium,1
3359,large,4
3360,large,2
3361,medium,4
3362,large,4
3363,extra large,5
3364,extra large,6
3365,small,7
3366,large,1
3367,medium,4
3368,medium,1
3369,medium,4
3370,large,2
3371,large,4
3372,extra large,6
3373,extra large,3
3374,small,5
3375,extra large,3
3376,medium,5
3377,medium,4
3378,extra large,2
3379,extra large,6
3380,medium,2
3381,large,1
3382,large,3
3383,medium,3
3384,large,5
3385,extra large,7
3386,extra large,2
3387,extra large,4
3388,large,3
3389,large,3
3390,extra large,3
3391,large,2
3392,small,1
3393,large,2
3394,large,5
3395,small,7
3396,small,4
3397,large,5
3398,extra large,7
3399,medium,5
3400,small,4
3401,extra large,2
3402,large,6
3403,small,3
3404,large,6
3405,large,6
3406,medium,1
3407,large,2
3408,small,6
3409,small,3
3410,medium,5
3411,large,5
3412,large,4
3413,extra large,5
3414,extra large,1
3415,medium,6
3416,small,6
3417,extra large,7
3418,medium,1
3419,extra large,5
3420,small,7
3421,large,4
3422,small,1
3423,large,3
3424,extra large,1
3425,extra large,7
3426,large,1
3427,small,6
3428,medium,4
3429,small,1
3430,extra large,7
3431,extra large,3
3432,extra large,6
3433,small,1
3434,extra large,4
3435,large,2
3436,large,2
3437,extra large,3
3438,medium,4
3439,medium,1
3440,extra large,1
3441,small,7
3442,medium,4
3443,extra large,7
3444,large,7
3445,medium,7
3446,large,5
3447,extra large,5
3448,extra large,5
3449,large,7
3450,medium,7
3451,large,7
3452,extra large,7
3453,large,4
3454,large,4
3455,extra large,7
3456,medium,1
3457,large,7
3458,extra large,1
3459,small,7
3460,large,6
3461,extra large,1
3462,large,5
3463,medium,5
3464,large,2
3465,large,7
3466,large,7
3467,small,4
3468,extra large,4
3469,large,4
3470,large,2
3471,medium,5
3472,extra large,4
3473,extra large,7
3474,small,2
3475,small,5
3476,extra large,4
3477,extra large,2
3478,small,1
3479,extra large,7
3480,small,5
3481,extra large,1
3482,extra large,3
3483,extra large,1
3484,medium,5
3485,extra large,3
3486,large,4
3487,large,7
3488,medium,7
3489,large,1
3490,large,4
3491,medium,5
3492,medium,7
3493,medium,2
3494,large,6
3495,medium,5
3496,medium,2
3497,small,1
3498,large,3
3499,medium,6
3500,medium,5
3501,large,4
3502,extra large,7
3503,large,4
3504,medium,6
3505,small,6
3506,medium,3
3507,large,1
3508,extra large,3
3509,medium,7
3510,small,7
3511,large,2
3512,large,5
3513,extra large,1
3514,small,4
3515,extra large,5
3516,large,4
3517,small,4
3518,large,4
3519,small,7
3520,medium,5
3521,large,5
3522,medium,4
3523,medium,3
3524,small,5
3525,extra large,5
3526,medium,5
3527,small,5
3528,large,2
3529,medium,2
3530,medium,2
3531,large,3
3532,small,6
3533,small,3
3534,medium,7
3535,extra large,3
3536,medium,3
3537,small,5
3538,extra large,4
3539,large,2
3540,small,5
3541,extra large,2
3542,large,5
3543,extra large,3
3544,extra large,5
3545,small,7
3546,extra large,6
3547,extra large,6
3548,large,2
3549,large,5
3550,small,6
3551,large,3
3552,medium,4
3553,medium,4
3554,large,6
3555,large,1
3556,large,2
3557,small,1
3558,large,3
3559,extra large,6
3560,medium,5
3561,extra large,3
3562,medium,6
3563,medium,2
3564,large,5
3565,extra large,7
3566,extra large,4
3567,medium,6
3568,small,4
3569,extra large,2
3570,small,3
3571,small,3
3572,small,7
3573,medium,6
3574,large,2
3575,small,2
3576,small,4
3577,extra large,2
3578,extra large,5
3579,small,2
3580,extra large,1
3581,extra large,4
3582,small,4
3583,large,4
3584,extra large,3
3585,extra large,7
3586,extra large,4
3587,medium,6
3588,medium,5
3589,medium,4
3590,large,6
3591,large,5
3592,large,6
3593,extra large,1
3594,extra large,4
3595,extra large,7
3596,small,6
3597,large,2
3598,extra large,7
3599,large,4
3600,extra large,1
3601,large,6
3602,small,7
3603,medium,4
3604,extra large,6
3605,large,7
3606,large,7
3607,extra large,3
3608,medium,4
3609,large,6
3610,extra large,1
3611,medium,6
3612,large,5
3613,small,4
3614,large,1
3615,large,2
3616,large,2
3617,large,6
3618,medium,3
3619,extra large,3
3620,extra large,5
3621,extra large,4
3622,extra large,3
3623,extra large,2
3624,small,3
3625,extra large,2
3626,small,2
3627,medium,6
3628,large,2
3629,extra large,2
3630,extra large,7
3631,extra large,4
3632,large,5
3633,medium,7
3634,large,5
3635,medium,7
3636,extra large,2
3637,small,1
3638,medium,7
3639,medium,5
3640,small,5
3641,large,4
3642,small,1
3643,extra large,7
3644,medium,7
3645,large,6
3646,small,2
3647,extra large,4
3648,medium,6
3649,small,6
3650,large,5
3651,extra large,1
3652,medium,2
3653,large,3
3654,small,3
3655,large,3
3656,medium,1
3657,small,2
3658,extra large,5
3659,extra large,3
3660,extra large,3
3661,large,5
3662,large,7
3663,extra large,7
3664,large,6
3665,extra large,2
3666,medium,1
3667,small,2
3668,extra large,1
3669,large,7
3670,small,2
3671,extra large,3
3672,medium,2
3673,large,6
3674,extra large,4
3675,medium,1
3676,extra large,1
3677,medium,2
3678,extra large,1
3679,small,4
3680,small,7
3681,medium,7
3682,medium,2
3683,large,7
3684,medium,1
3685,small,1
3686,extra large,6
3687,large,4
3688,large,7
3689,large,7
3690,large,2
3691,medium,1
3692,extra large,2
3693,small,7
3694,extra large,1
3695,large,3
3696,extra large,2
3697,extra large,6
3698,large,1
3699,medium,5
3700,medium,7
3701,extra large,7
3702,medium,7
3703,extra large,5
3704,large,3
3705,large,4
3706,extra large,2
3707,large,6
3708,large,4
3709,small,6
3710,large,6
3711,large,1
3712,extra large,3
3713,small,7
3714,extra large,3
3715,extra large,3
3716,medium,5
3717,small,4
3718,medium,6
3719,large,5
3720,medium,7
3721,small,5
3722,small,2
3723,large,5
3724,small,7
3725,small,7
3726,small,4
3727,extra large,5
3728,medium,2
3729,small,6
3730,extra large,5
3731,medium,2
3732,extra large,5
3733,small,1
3734,medium,5
3735,large,5
3736,extra large,2
3737,small,6
3738,large,7
3739,small,4
3740,small,5
3741,medium,5
