Body Type,Diet,How Often Shower,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,Recycle Plastic,Recycle Glass,Recycle Metal,Recycle Paper,Recycling Count,Cook With Stove,Cook With Oven,Cook With Microwave,Cook With Grill,Cook With Airfryer,Cooking With Count,Monthly Grocery Bill Tier
normal,omnivore,less frequently,private,sometimes,110,never,small,2,15,43,20,No,"['Plastic', 'Glass']",[],1804,1,1,0,0,2,0,0,0,0,0,0,Low
overweight,vegan,daily,public,sometimes,101,never,extra large,3,13,1,5,No,"['Plastic', 'Metal']",[],881,1,0,1,0,2,0,0,0,0,0,0,Low
obese,vegan,daily,public,never,87,very frequently,small,6,17,4,2,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2857,1,0,1,1,3,1,1,0,1,1,4,Low
overweight,omnivore,twice a day,private,sometimes,222,frequently,medium,7,15,26,11,Sometimes,[],[],3319,0,0,0,0,0,0,0,0,0,0,0,Medium
underweight,pescatarian,twice a day,walk/bicycle,sometimes,118,rarely,small,6,20,4,17,No,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",926,0,1,0,1,2,0,0,1,1,1,3,Medium
normal,pescatarian,twice a day,private,sometimes,235,never,small,7,12,27,16,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2042,1,0,1,1,3,0,1,0,1,1,3,High
normal,vegetarian,more frequently,public,never,173,frequently,large,4,21,0,0,Yes,[Metal],[Stove],1920,0,0,1,0,1,1,0,0,0,0,1,Medium
underweight,vegan,less frequently,private,often,216,frequently,medium,3,14,8,22,No,[Glass],[Stove],2451,0,1,0,0,1,1,0,0,0,0,1,Medium
underweight,pescatarian,daily,public,often,97,very frequently,medium,2,9,3,2,Yes,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2196,0,1,1,0,2,1,1,1,0,0,3,Low
underweight,pescatarian,daily,walk/bicycle,often,193,very frequently,large,7,5,36,11,Yes,[Paper],"['Stove', 'Grill', 'Airfryer']",2929,0,0,0,1,1,1,0,0,1,1,3,Medium
underweight,vegan,twice a day,private,never,144,rarely,medium,5,5,11,13,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2714,1,1,0,1,3,0,0,1,1,1,3,Medium
overweight,pescatarian,daily,private,often,188,very frequently,small,2,24,17,20,No,"['Glass', 'Metal']","['Oven', 'Microwave']",3088,0,1,1,0,2,0,1,1,0,0,2,Medium
underweight,pescatarian,daily,public,sometimes,270,never,medium,2,17,5,18,Sometimes,[Paper],"['Stove', 'Grill', 'Airfryer']",895,0,0,0,1,1,1,0,0,1,1,3,High
overweight,vegetarian,twice a day,private,often,167,very frequently,small,5,5,28,0,No,[],"['Oven', 'Microwave']",3231,0,0,0,0,0,0,1,1,0,0,2,Medium
underweight,pescatarian,twice a day,private,often,181,very frequently,extra large,6,15,31,11,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2312,1,1,1,1,4,1,1,1,1,1,5,Medium
overweight,vegetarian,more frequently,public,sometimes,99,rarely,small,7,21,24,13,Yes,[Glass],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1743,0,1,0,0,1,1,0,1,1,1,4,Low
obese,omnivore,less frequently,public,often,143,rarely,large,4,21,10,19,Sometimes,"['Paper', 'Glass']","['Grill', 'Airfryer']",1741,0,1,0,1,2,0,0,0,1,1,2,Medium
overweight,vegan,twice a day,walk/bicycle,often,88,very frequently,large,2,13,43,19,Sometimes,"['Paper', 'Plastic']",[],3309,1,0,0,1,2,0,0,0,0,0,0,Low
overweight,pescatarian,daily,public,sometimes,102,rarely,large,3,21,6,23,Sometimes,"['Paper', 'Plastic', 'Glass']",[Stove],1177,1,1,0,1,3,1,0,0,0,0,1,Low
normal,vegetarian,more frequently,walk/bicycle,sometimes,149,frequently,small,7,7,33,23,No,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1631,1,0,0,1,2,0,0,0,1,1,2,Medium
overweight,omnivore,twice a day,public,sometimes,76,frequently,extra large,6,8,3,13,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2524,1,0,1,1,3,0,1,0,1,1,3,Low
underweight,omnivore,more frequently,public,sometimes,268,frequently,large,7,12,17,15,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2167,1,1,0,1,3,1,0,1,0,0,2,High
obese,pescatarian,more frequently,private,never,246,very frequently,extra large,3,5,12,0,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4922,1,0,1,1,3,1,1,1,0,0,3,High
normal,vegan,less frequently,private,sometimes,54,rarely,medium,2,16,13,20,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",2328,1,0,0,1,2,0,0,0,1,1,2,Low
overweight,vegetarian,less frequently,public,never,158,never,extra large,1,15,31,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",940,1,1,1,1,4,0,1,1,1,1,4,Medium
overweight,vegetarian,twice a day,private,never,94,frequently,large,2,18,11,1,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1146,1,0,1,1,3,1,0,1,1,1,4,Low
obese,vegan,twice a day,walk/bicycle,sometimes,173,very frequently,extra large,1,4,42,1,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3287,0,1,0,1,2,0,1,1,1,1,4,Medium
obese,vegan,daily,walk/bicycle,often,124,frequently,small,4,14,20,13,Yes,[Metal],"['Grill', 'Airfryer']",1835,0,0,1,0,1,0,0,0,1,1,2,Medium
underweight,vegetarian,twice a day,private,never,86,very frequently,small,6,10,26,11,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",3197,1,1,0,1,3,0,1,1,0,0,2,Low
normal,omnivore,daily,private,often,174,frequently,medium,1,24,33,18,Yes,[Glass],[Oven],1984,0,1,0,0,1,0,1,0,0,0,1,Medium
overweight,vegetarian,more frequently,private,sometimes,185,rarely,small,4,4,4,6,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",2079,0,1,1,0,2,0,0,0,1,1,2,Medium
normal,vegetarian,less frequently,private,never,296,very frequently,small,3,19,4,12,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",3122,0,1,0,1,2,1,0,1,1,1,4,High
obese,vegetarian,twice a day,private,never,87,frequently,large,7,16,13,8,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2545,1,1,1,0,3,1,1,1,0,0,3,Low
underweight,vegetarian,daily,walk/bicycle,often,122,very frequently,extra large,2,12,12,24,Sometimes,[Paper],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2620,0,0,0,1,1,1,1,1,1,1,5,Medium
normal,vegetarian,daily,private,never,173,frequently,medium,6,15,36,9,Yes,[Metal],"['Grill', 'Airfryer']",1799,0,0,1,0,1,0,0,0,1,1,2,Medium
underweight,vegetarian,twice a day,private,often,135,rarely,medium,7,6,23,3,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2813,0,1,0,1,2,1,1,0,1,1,4,Medium
normal,pescatarian,less frequently,private,often,165,very frequently,large,3,11,0,9,Sometimes,"['Paper', 'Plastic', 'Glass']",[Stove],3040,1,1,0,1,3,1,0,0,0,0,1,Medium
underweight,omnivore,less frequently,public,never,223,rarely,small,5,2,29,24,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",1327,1,1,0,1,3,0,1,1,0,0,2,Medium
normal,omnivore,less frequently,public,often,85,very frequently,medium,7,2,15,15,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2752,0,1,1,0,2,1,0,0,1,1,3,Low
normal,vegetarian,more frequently,private,never,263,rarely,medium,6,2,4,16,Yes,[Metal],"['Stove', 'Oven', 'Microwave']",2211,0,0,1,0,1,1,1,1,0,0,3,High
obese,pescatarian,less frequently,walk/bicycle,never,191,frequently,medium,7,20,21,1,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1589,0,1,1,1,3,0,0,1,1,1,3,Medium
normal,vegan,daily,walk/bicycle,never,224,very frequently,extra large,5,5,13,2,Yes,[Paper],"['Stove', 'Oven', 'Grill', 'Airfryer']",2905,0,0,0,1,1,1,1,0,1,1,4,Medium
overweight,omnivore,twice a day,private,often,150,frequently,extra large,3,14,39,9,Sometimes,[],"['Grill', 'Airfryer']",2594,0,0,0,0,0,0,0,0,1,1,2,Medium
overweight,vegetarian,daily,public,never,149,rarely,small,3,1,37,13,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1515,1,1,0,0,2,1,1,1,1,1,5,Medium
normal,omnivore,less frequently,public,sometimes,144,never,extra large,6,1,49,7,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2281,1,0,0,1,2,0,1,1,1,1,4,Medium
obese,omnivore,less frequently,walk/bicycle,sometimes,170,frequently,large,2,0,49,9,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2003,1,1,1,0,3,0,0,1,1,1,3,Medium
normal,pescatarian,less frequently,walk/bicycle,sometimes,198,frequently,medium,6,10,1,0,No,"['Paper', 'Plastic', 'Glass']",[Microwave],1163,1,1,0,1,3,0,0,1,0,0,1,Medium
overweight,vegan,more frequently,private,never,128,very frequently,extra large,1,19,45,1,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",4556,1,0,1,0,2,1,1,1,0,0,3,Medium
obese,vegetarian,more frequently,walk/bicycle,sometimes,81,never,small,6,13,26,24,Yes,"['Paper', 'Plastic', 'Glass']",[Oven],1417,1,1,0,1,3,0,1,0,0,0,1,Low
underweight,vegan,less frequently,public,sometimes,93,never,small,5,19,2,18,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",899,1,1,1,1,4,0,1,0,1,1,3,Low
normal,vegetarian,more frequently,public,never,295,never,small,7,19,5,22,Sometimes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1221,1,0,1,0,2,0,1,0,1,1,3,High
overweight,pescatarian,daily,walk/bicycle,never,119,very frequently,extra large,3,12,5,0,No,[Paper],"['Stove', 'Oven']",2186,0,0,0,1,1,1,1,0,0,0,2,Medium
underweight,vegetarian,twice a day,public,often,222,frequently,large,3,9,4,19,No,"['Paper', 'Plastic']","['Oven', 'Microwave']",1538,1,0,0,1,2,0,1,1,0,0,2,Medium
normal,vegetarian,twice a day,walk/bicycle,sometimes,298,never,extra large,7,20,29,13,Sometimes,[],"['Grill', 'Airfryer']",2502,0,0,0,0,0,0,0,0,1,1,2,High
underweight,omnivore,twice a day,private,never,52,never,small,7,13,23,5,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1059,0,1,1,1,3,1,0,1,1,1,4,Low
normal,omnivore,less frequently,walk/bicycle,never,299,never,large,1,12,1,13,No,"['Glass', 'Metal']",[Stove],820,0,1,1,0,2,1,0,0,0,0,1,High
overweight,vegan,daily,public,sometimes,92,rarely,medium,4,8,15,22,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1348,0,0,1,1,2,0,1,1,1,1,4,Low
obese,vegan,twice a day,private,sometimes,273,rarely,small,7,17,45,20,Sometimes,[],[Stove],5663,0,0,0,0,0,1,0,0,0,0,1,High
underweight,pescatarian,more frequently,public,sometimes,62,rarely,small,5,6,16,16,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",904,0,1,1,0,2,0,1,1,1,1,4,Low
obese,vegan,more frequently,walk/bicycle,never,231,frequently,extra large,5,1,44,0,Yes,"['Paper', 'Glass']",[Microwave],3046,0,1,0,1,2,0,0,1,0,0,1,High
overweight,vegan,twice a day,private,never,146,rarely,small,4,12,41,24,Yes,[Glass],[Stove],2248,0,1,0,0,1,1,0,0,0,0,1,Medium
obese,pescatarian,twice a day,walk/bicycle,never,182,very frequently,extra large,4,6,3,5,Sometimes,[Glass],"['Stove', 'Oven']",2436,0,1,0,0,1,1,1,0,0,0,2,Medium
overweight,vegan,more frequently,walk/bicycle,often,181,very frequently,small,4,21,28,24,Sometimes,[Glass],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3172,0,1,0,0,1,0,1,1,1,1,4,Medium
obese,vegan,more frequently,private,sometimes,78,rarely,extra large,3,0,33,13,Sometimes,[Paper],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2401,0,0,0,1,1,0,1,1,1,1,4,Low
obese,vegetarian,twice a day,public,never,140,rarely,small,1,21,25,18,Sometimes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1224,0,1,0,1,2,0,0,1,1,1,3,Medium
normal,vegetarian,daily,private,sometimes,229,never,extra large,5,24,38,23,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1480,1,1,0,1,3,1,1,1,1,1,5,High
overweight,omnivore,daily,private,often,82,frequently,large,2,5,12,21,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4307,1,0,0,1,2,0,1,1,1,1,4,Low
overweight,omnivore,less frequently,public,sometimes,284,never,large,2,5,38,10,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",1638,0,1,0,1,2,1,0,0,1,1,3,High
underweight,vegetarian,daily,public,never,155,never,medium,4,19,47,22,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1110,1,1,1,0,3,1,0,1,1,1,4,Medium
normal,pescatarian,daily,public,sometimes,245,very frequently,small,3,9,12,12,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2449,1,1,1,1,4,0,0,1,1,1,3,High
overweight,omnivore,more frequently,private,sometimes,230,very frequently,large,4,13,11,3,Sometimes,"['Paper', 'Plastic']",[Stove],3881,1,0,0,1,2,1,0,0,0,0,1,High
obese,omnivore,twice a day,walk/bicycle,never,139,never,medium,2,14,42,13,No,"['Glass', 'Metal']","['Oven', 'Microwave']",1576,0,1,1,0,2,0,1,1,0,0,2,Medium
underweight,vegetarian,daily,public,sometimes,175,never,small,1,12,25,8,Yes,[Metal],"['Oven', 'Microwave']",980,0,0,1,0,1,0,1,1,0,0,2,Medium
overweight,vegetarian,twice a day,private,never,95,frequently,medium,3,12,5,5,No,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",2708,0,0,0,0,0,1,1,0,1,1,4,Low
overweight,vegetarian,more frequently,walk/bicycle,sometimes,70,rarely,medium,1,8,35,15,Yes,"['Paper', 'Plastic', 'Glass']",[Stove],909,1,1,0,1,3,1,0,0,0,0,1,Low
obese,omnivore,daily,walk/bicycle,often,167,very frequently,small,6,7,41,2,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3690,1,1,1,0,3,1,1,0,1,1,4,Medium
normal,vegan,less frequently,public,never,210,frequently,extra large,7,16,22,11,No,"['Glass', 'Metal']",[],2416,0,1,1,0,2,0,0,0,0,0,0,Medium
normal,vegan,daily,walk/bicycle,often,294,never,small,7,21,41,6,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1276,1,1,1,1,4,0,1,1,0,0,2,High
obese,vegetarian,more frequently,public,sometimes,146,rarely,small,4,20,31,17,Sometimes,[Glass],"['Stove', 'Microwave']",1499,0,1,0,0,1,1,0,1,0,0,2,Medium
obese,pescatarian,twice a day,walk/bicycle,never,140,very frequently,medium,3,3,30,14,No,[Glass],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3069,0,1,0,0,1,1,1,1,1,1,5,Medium
underweight,omnivore,more frequently,walk/bicycle,often,239,very frequently,medium,1,19,17,20,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2696,1,0,1,1,3,1,0,1,1,1,4,High
obese,vegetarian,more frequently,private,often,258,rarely,large,2,7,46,22,No,[Paper],"['Oven', 'Microwave']",3432,0,0,0,1,1,0,1,1,0,0,2,High
normal,omnivore,twice a day,walk/bicycle,often,108,never,large,2,1,4,6,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",763,1,1,0,1,3,1,1,0,1,1,4,Low
overweight,pescatarian,daily,walk/bicycle,never,291,rarely,small,5,24,42,22,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1531,1,0,1,1,3,0,0,0,1,1,2,High
obese,omnivore,twice a day,private,often,188,rarely,extra large,3,4,29,9,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",3050,1,1,0,0,2,1,1,1,0,0,3,Medium
normal,pescatarian,more frequently,walk/bicycle,sometimes,142,never,medium,3,10,43,22,No,[Plastic],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1988,1,0,0,0,1,1,0,1,1,1,4,Medium
underweight,pescatarian,more frequently,public,never,69,very frequently,small,4,11,30,10,Sometimes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1852,0,1,1,1,3,0,0,1,1,1,3,Low
normal,pescatarian,twice a day,walk/bicycle,never,209,very frequently,extra large,2,3,39,5,No,"['Paper', 'Glass']",[Stove],2296,0,1,0,1,2,1,0,0,0,0,1,Medium
overweight,vegan,twice a day,public,sometimes,58,frequently,medium,7,14,18,2,No,[Plastic],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1757,1,0,0,0,1,0,1,1,1,1,4,Low
obese,pescatarian,twice a day,private,sometimes,231,frequently,medium,6,23,19,1,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",2744,0,1,1,1,3,0,1,1,0,0,2,High
overweight,pescatarian,twice a day,walk/bicycle,sometimes,216,rarely,large,2,17,34,4,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1985,1,0,1,1,3,1,1,1,1,1,5,Medium
normal,vegetarian,twice a day,public,often,163,never,medium,4,12,33,24,No,"['Paper', 'Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1275,1,0,1,1,3,0,0,1,1,1,3,Medium
underweight,omnivore,more frequently,public,never,147,rarely,extra large,1,18,42,10,Sometimes,"['Paper', 'Plastic']",[Oven],1586,1,0,0,1,2,0,1,0,0,0,1,Medium
normal,omnivore,daily,walk/bicycle,never,217,rarely,small,4,24,48,8,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1681,0,1,1,1,3,1,1,0,1,1,4,Medium
obese,vegan,less frequently,walk/bicycle,never,238,frequently,small,4,21,33,15,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",2230,0,1,0,1,2,0,1,1,0,0,2,High
obese,pescatarian,more frequently,walk/bicycle,never,251,frequently,extra large,7,7,21,8,No,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3099,0,1,1,0,2,1,0,0,1,1,3,High
underweight,pescatarian,more frequently,private,often,60,never,extra large,1,14,7,0,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1757,1,1,0,0,2,0,1,1,0,0,2,Low
obese,pescatarian,daily,public,never,175,rarely,medium,4,7,27,10,Yes,"['Paper', 'Metal']",[],1532,0,0,1,1,2,0,0,0,0,0,0,Medium
underweight,pescatarian,daily,private,sometimes,266,frequently,large,1,20,23,18,No,[],"['Oven', 'Microwave']",4416,0,0,0,0,0,0,1,1,0,0,2,High
overweight,vegan,more frequently,walk/bicycle,often,114,rarely,large,6,19,13,9,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1701,1,0,1,1,3,0,1,0,1,1,3,Low
obese,pescatarian,daily,walk/bicycle,often,132,very frequently,medium,7,16,47,23,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4194,0,0,0,0,0,1,1,0,1,1,4,Medium
underweight,pescatarian,more frequently,public,never,106,frequently,small,3,12,26,6,No,"['Paper', 'Metal']","['Stove', 'Microwave']",1634,0,0,1,1,2,1,0,1,0,0,2,Low
normal,pescatarian,more frequently,walk/bicycle,often,108,rarely,large,2,23,23,6,No,[Glass],[],1329,0,1,0,0,1,0,0,0,0,0,0,Low
overweight,vegetarian,twice a day,walk/bicycle,never,145,very frequently,small,7,3,24,6,Sometimes,[],"['Oven', 'Microwave']",2901,0,0,0,0,0,0,1,1,0,0,2,Medium
underweight,pescatarian,more frequently,public,often,84,frequently,small,2,1,49,18,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",2536,0,0,0,0,0,0,0,1,1,1,3,Low
overweight,vegetarian,daily,walk/bicycle,never,171,very frequently,large,4,24,23,23,No,[Paper],"['Stove', 'Microwave']",3100,0,0,0,1,1,1,0,1,0,0,2,Medium
underweight,omnivore,more frequently,walk/bicycle,often,68,very frequently,small,3,5,44,11,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2180,0,1,0,1,2,0,1,1,1,1,4,Low
underweight,omnivore,less frequently,walk/bicycle,often,275,never,small,6,21,30,22,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1629,1,1,1,0,3,0,1,1,1,1,4,High
obese,vegan,more frequently,walk/bicycle,sometimes,217,never,large,2,8,32,10,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",1493,0,1,1,0,2,0,1,1,0,0,2,Medium
underweight,pescatarian,daily,private,often,139,rarely,extra large,1,12,14,20,Yes,[Glass],"['Oven', 'Grill', 'Airfryer']",1543,0,1,0,0,1,0,1,0,1,1,3,Medium
underweight,vegetarian,more frequently,public,never,141,frequently,small,1,22,47,11,Yes,"['Plastic', 'Metal']",[],1389,1,0,1,0,2,0,0,0,0,0,0,Medium
obese,omnivore,twice a day,walk/bicycle,never,146,rarely,extra large,7,22,1,1,No,"['Paper', 'Plastic']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2118,1,0,0,1,2,1,0,1,1,1,4,Medium
obese,vegetarian,twice a day,walk/bicycle,sometimes,221,frequently,medium,6,16,26,23,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",2288,0,1,0,1,2,1,1,0,0,0,2,Medium
overweight,pescatarian,daily,public,often,198,frequently,large,5,2,15,7,Yes,[Metal],[Oven],2167,0,0,1,0,1,0,1,0,0,0,1,Medium
normal,omnivore,twice a day,private,sometimes,296,frequently,extra large,5,4,13,6,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",2055,1,1,0,1,3,0,1,1,0,0,2,High
overweight,vegan,twice a day,public,never,110,very frequently,extra large,3,18,18,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2618,1,1,1,1,4,1,0,0,1,1,3,Low
obese,pescatarian,twice a day,private,often,204,very frequently,small,1,10,36,21,No,[Glass],[],3468,0,1,0,0,1,0,0,0,0,0,0,Medium
underweight,omnivore,less frequently,walk/bicycle,often,108,never,small,2,11,40,13,No,[Plastic],"['Stove', 'Grill', 'Airfryer']",1515,1,0,0,0,1,1,0,0,1,1,3,Low
overweight,vegetarian,daily,public,often,285,frequently,medium,4,19,18,8,No,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2747,0,0,0,0,0,1,0,1,1,1,4,High
underweight,pescatarian,daily,public,often,98,never,extra large,4,0,13,12,No,[Metal],[Stove],1261,0,0,1,0,1,1,0,0,0,0,1,Low
normal,pescatarian,daily,private,often,122,never,large,6,19,47,21,Yes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2690,1,0,0,1,2,1,1,1,1,1,5,Medium
underweight,pescatarian,less frequently,private,never,282,rarely,small,7,0,4,14,Yes,[Paper],[Oven],4323,0,0,0,1,1,0,1,0,0,0,1,High
overweight,pescatarian,less frequently,public,often,78,very frequently,large,7,16,9,0,Yes,[],"['Grill', 'Airfryer']",2978,0,0,0,0,0,0,0,0,1,1,2,Low
normal,omnivore,twice a day,public,never,74,frequently,large,1,6,19,3,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1463,1,0,0,1,2,0,1,1,1,1,4,Low
obese,vegan,less frequently,walk/bicycle,never,176,never,extra large,6,9,21,16,Sometimes,"['Plastic', 'Glass']",[],2181,1,1,0,0,2,0,0,0,0,0,0,Medium
obese,omnivore,less frequently,public,never,228,rarely,small,1,20,48,12,No,[Plastic],"['Stove', 'Grill', 'Airfryer']",1951,1,0,0,0,1,1,0,0,1,1,3,Medium
obese,omnivore,daily,public,never,143,very frequently,small,6,13,35,20,No,"['Plastic', 'Glass']","['Stove', 'Oven']",3080,1,1,0,0,2,1,1,0,0,0,2,Medium
normal,pescatarian,less frequently,private,never,86,very frequently,small,4,8,6,24,No,"['Glass', 'Metal']","['Stove', 'Oven']",2363,0,1,1,0,2,1,1,0,0,0,2,Low
overweight,vegan,twice a day,walk/bicycle,often,117,never,large,4,17,41,10,Yes,"['Paper', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1408,0,1,1,1,3,0,0,1,1,1,3,Medium
underweight,vegan,less frequently,walk/bicycle,often,165,frequently,small,4,14,39,3,No,[Glass],"['Microwave', 'Grill', 'Airfryer']",1550,0,1,0,0,1,0,0,1,1,1,3,Medium
obese,pescatarian,less frequently,private,often,223,never,small,1,22,32,23,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",4562,1,1,0,1,3,0,0,0,1,1,2,Medium
overweight,omnivore,less frequently,public,sometimes,57,very frequently,extra large,7,19,4,16,Sometimes,"['Paper', 'Plastic']",[Oven],3415,1,0,0,1,2,0,1,0,0,0,1,Low
overweight,pescatarian,more frequently,walk/bicycle,often,172,very frequently,small,3,3,24,15,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",3114,1,1,0,0,2,0,1,1,0,0,2,Medium
normal,pescatarian,daily,walk/bicycle,sometimes,292,very frequently,small,7,0,47,13,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2668,1,0,1,0,2,0,1,0,1,1,3,High
overweight,omnivore,twice a day,public,often,298,never,extra large,1,3,7,17,Yes,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",1242,1,0,1,1,3,0,0,0,1,1,2,High
underweight,vegetarian,less frequently,public,sometimes,134,very frequently,large,4,24,28,5,Yes,"['Paper', 'Glass', 'Metal']",[],2358,0,1,1,1,3,0,0,0,0,0,0,Medium
underweight,pescatarian,more frequently,public,never,244,very frequently,medium,6,4,50,12,No,[Glass],"['Oven', 'Microwave']",3401,0,1,0,0,1,0,1,1,0,0,2,High
underweight,pescatarian,less frequently,private,often,122,very frequently,medium,7,18,33,7,No,"['Glass', 'Metal']",[Microwave],4490,0,1,1,0,2,0,0,1,0,0,1,Medium
normal,vegan,more frequently,private,often,153,very frequently,large,1,13,15,16,Yes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1859,0,1,1,0,2,0,1,0,1,1,3,Medium
