ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
2427,public,,never,70
2428,private,hybrid,never,5196
2429,public,,frequently,403
2430,walk/bicycle,,frequently,7
2431,private,diesel,very frequently,1078
2432,public,,very frequently,1550
2433,public,,very frequently,1610
2434,public,,never,730
2435,public,,never,1779
2436,walk/bicycle,,frequently,51
2437,private,hybrid,very frequently,4490
2438,private,diesel,frequently,1283
2439,private,petrol,rarely,8521
2440,public,,never,1849
2441,walk/bicycle,,very frequently,58
2442,private,hybrid,never,1896
2443,public,,very frequently,1932
2444,public,,rarely,1527
2445,private,hybrid,very frequently,4688
2446,private,petrol,very frequently,6843
2447,private,hybrid,frequently,215
2448,walk/bicycle,,rarely,39
2449,public,,very frequently,772
2450,walk/bicycle,,very frequently,40
2451,private,electric,frequently,7618
2452,walk/bicycle,,never,72
2453,public,,rarely,1951
2454,walk/bicycle,,frequently,10
2455,walk/bicycle,,rarely,29
2456,private,lpg,never,4791
2457,public,,frequently,1515
2458,walk/bicycle,,very frequently,56
2459,public,,never,1682
2460,walk/bicycle,,rarely,70
2461,private,diesel,never,8537
2462,private,hybrid,very frequently,8666
2463,walk/bicycle,,rarely,64
2464,walk/bicycle,,rarely,45
2465,public,,frequently,278
2466,public,,frequently,1410
2467,public,,never,1203
2468,public,,frequently,769
2469,private,hybrid,rarely,9331
2470,private,lpg,rarely,7981
2471,public,,frequently,564
2472,walk/bicycle,,never,34
2473,private,diesel,rarely,6585
2474,walk/bicycle,,frequently,47
2475,public,,frequently,1335
2476,public,,never,1954
2477,private,petrol,never,6179
2478,private,diesel,never,8098
2479,walk/bicycle,,frequently,27
2480,private,hybrid,very frequently,5877
2481,public,,never,1582
2482,private,lpg,very frequently,7686
2483,walk/bicycle,,frequently,62
2484,public,,rarely,764
2485,walk/bicycle,,very frequently,63
2486,public,,frequently,1361
2487,private,electric,frequently,4547
2488,walk/bicycle,,very frequently,97
2489,public,,rarely,1346
2490,private,petrol,very frequently,1669
2491,walk/bicycle,,frequently,18
2492,walk/bicycle,,never,11
2493,private,diesel,very frequently,887
2494,public,,rarely,834
2495,private,diesel,frequently,3106
2496,private,diesel,very frequently,2052
2497,public,,very frequently,360
2498,private,petrol,rarely,7023
2499,walk/bicycle,,never,25
2500,private,hybrid,frequently,1481
2501,private,lpg,frequently,2484
2502,public,,frequently,1762
2503,walk/bicycle,,frequently,27
2504,walk/bicycle,,rarely,16
2505,walk/bicycle,,rarely,26
2506,private,diesel,very frequently,6020
2507,public,,frequently,1395
2508,walk/bicycle,,very frequently,61
2509,walk/bicycle,,never,75
2510,public,,very frequently,1365
2511,private,lpg,never,8299
2512,public,,never,1062
2513,walk/bicycle,,frequently,45
2514,public,,rarely,316
2515,public,,frequently,1829
2516,walk/bicycle,,rarely,12
2517,walk/bicycle,,very frequently,38
2518,private,electric,frequently,4439
2519,private,hybrid,rarely,7904
2520,public,,never,1535
2521,walk/bicycle,,frequently,28
2522,walk/bicycle,,rarely,11
2523,walk/bicycle,,frequently,56
2524,public,,frequently,1844
2525,public,,never,1131
2526,public,,frequently,145
2527,public,,frequently,672
2528,private,electric,never,1637
2529,private,electric,frequently,6893
2530,private,lpg,frequently,66
2531,public,,rarely,1734
2532,walk/bicycle,,frequently,38
2533,private,diesel,very frequently,4733
2534,walk/bicycle,,very frequently,33
2535,public,,very frequently,2
2536,public,,never,670
2537,public,,frequently,1370
2538,private,electric,very frequently,550
2539,walk/bicycle,,never,75
2540,public,,very frequently,31
2541,private,lpg,rarely,5868
2542,private,electric,never,9219
2543,public,,rarely,330
2544,walk/bicycle,,very frequently,85
2545,private,diesel,very frequently,2267
2546,public,,never,1713
2547,walk/bicycle,,very frequently,81
2548,private,diesel,rarely,5165
2549,private,petrol,frequently,7189
2550,walk/bicycle,,never,88
2551,public,,frequently,348
2552,private,hybrid,very frequently,8108
2553,private,diesel,frequently,5349
2554,walk/bicycle,,rarely,52
2555,private,hybrid,very frequently,8930
2556,walk/bicycle,,never,10
2557,private,electric,very frequently,8712
2558,private,petrol,very frequently,3422
2559,public,,frequently,1798
2560,private,diesel,very frequently,6028
2561,walk/bicycle,,never,2
2562,public,,frequently,427
2563,walk/bicycle,,frequently,34
2564,walk/bicycle,,frequently,65
2565,private,diesel,frequently,8609
2566,public,,frequently,164
2567,walk/bicycle,,rarely,43
2568,public,,never,1449
2569,public,,rarely,1849
2570,public,,rarely,1921
2571,private,hybrid,never,454
2572,walk/bicycle,,very frequently,0
2573,private,petrol,never,2752
2574,public,,never,1065
2575,public,,frequently,749
2576,walk/bicycle,,very frequently,58
2577,private,lpg,never,1071
2578,walk/bicycle,,never,30
2579,private,electric,very frequently,7031
2580,private,lpg,frequently,4298
2581,private,lpg,never,7618
2582,private,lpg,frequently,8301
2583,public,,rarely,1882
2584,public,,very frequently,207
2585,public,,frequently,671
2586,walk/bicycle,,never,46
2587,walk/bicycle,,frequently,66
2588,private,lpg,very frequently,7523
2589,walk/bicycle,,very frequently,51
2590,walk/bicycle,,frequently,96
2591,private,diesel,frequently,7757
2592,walk/bicycle,,never,79
2593,private,diesel,very frequently,3748
2594,private,petrol,frequently,3148
2595,private,petrol,rarely,5151
2596,walk/bicycle,,frequently,84
2597,private,lpg,never,8585
2598,public,,frequently,1113
2599,public,,very frequently,1238
2600,private,electric,very frequently,7677
2601,public,,never,1176
2602,walk/bicycle,,rarely,22
2603,public,,rarely,1797
2604,private,hybrid,never,2456
2605,private,petrol,very frequently,3229
2606,private,hybrid,never,3294
2607,private,electric,very frequently,5409
2608,public,,very frequently,561
2609,private,diesel,rarely,9427
2610,private,electric,frequently,131
2611,walk/bicycle,,rarely,34
2612,walk/bicycle,,never,93
2613,private,electric,very frequently,8843
2614,private,diesel,very frequently,556
2615,public,,frequently,1733
2616,public,,never,49
2617,walk/bicycle,,very frequently,60
2618,public,,very frequently,284
2619,public,,very frequently,446
2620,private,hybrid,never,5956
2621,walk/bicycle,,very frequently,17
2622,public,,never,863
2623,public,,frequently,596
2624,private,hybrid,very frequently,3325
2625,public,,frequently,235
2626,public,,rarely,1952
2627,public,,frequently,1963
2628,private,lpg,frequently,3055
2629,private,diesel,rarely,8077
2630,private,petrol,rarely,2077
2631,private,electric,frequently,5043
2632,walk/bicycle,,rarely,69
2633,private,petrol,never,7179
2634,private,petrol,rarely,7186
2635,public,,rarely,127
2636,walk/bicycle,,frequently,79
2637,public,,never,1649
2638,private,lpg,very frequently,7486
2639,private,hybrid,rarely,3604
2640,private,diesel,frequently,5037
2641,private,lpg,rarely,4071
2642,private,hybrid,rarely,7430
2643,walk/bicycle,,rarely,7
2644,walk/bicycle,,rarely,14
2645,walk/bicycle,,frequently,20
2646,public,,frequently,1283
2647,walk/bicycle,,very frequently,92
2648,private,lpg,rarely,4989
2649,walk/bicycle,,never,18
2650,walk/bicycle,,frequently,54
2651,public,,very frequently,506
2652,walk/bicycle,,never,52
2653,public,,never,559
2654,public,,never,1230
2655,public,,very frequently,737
2656,public,,frequently,550
2657,walk/bicycle,,very frequently,71
2658,private,hybrid,never,2041
2659,public,,never,68
2660,public,,very frequently,677
2661,private,diesel,frequently,2212
2662,walk/bicycle,,rarely,39
2663,private,lpg,never,3368
2664,public,,frequently,1219
2665,private,diesel,frequently,3757
2666,public,,very frequently,552
2667,walk/bicycle,,very frequently,2
2668,private,lpg,rarely,5134
2669,private,lpg,very frequently,1230
2670,public,,never,377
2671,private,diesel,very frequently,1630
2672,private,electric,very frequently,3900
2673,public,,rarely,165
2674,public,,rarely,1100
2675,walk/bicycle,,very frequently,37
2676,public,,rarely,1215
2677,walk/bicycle,,frequently,8
2678,public,,frequently,302
2679,public,,frequently,1343
2680,private,lpg,very frequently,9671
2681,private,diesel,rarely,6465
2682,public,,never,647
2683,private,diesel,frequently,421
2684,walk/bicycle,,very frequently,50
2685,walk/bicycle,,frequently,16
2686,private,lpg,very frequently,4276
2687,private,electric,frequently,2218
2688,private,hybrid,rarely,6994
2689,private,hybrid,very frequently,6883
2690,private,hybrid,frequently,4737
2691,walk/bicycle,,very frequently,43
2692,private,electric,frequently,5027
2693,private,petrol,rarely,5330
2694,private,hybrid,very frequently,7390
2695,public,,rarely,1586
2696,public,,very frequently,224
2697,private,lpg,rarely,2929
2698,walk/bicycle,,frequently,81
2699,walk/bicycle,,very frequently,61
2700,private,lpg,frequently,546
2701,public,,rarely,1560
2702,public,,never,560
2703,walk/bicycle,,frequently,93
2704,walk/bicycle,,frequently,39
2705,private,diesel,very frequently,9745
2706,walk/bicycle,,never,74
2707,public,,never,1846
2708,public,,never,706
2709,walk/bicycle,,very frequently,21
2710,public,,frequently,103
2711,walk/bicycle,,never,52
2712,private,electric,never,8797
2713,walk/bicycle,,never,47
2714,public,,rarely,1967
2715,private,lpg,rarely,9980
2716,public,,rarely,1232
2717,walk/bicycle,,frequently,51
2718,private,lpg,rarely,3192
2719,walk/bicycle,,very frequently,24
2720,walk/bicycle,,very frequently,50
2721,private,petrol,rarely,798
2722,public,,rarely,409
2723,private,electric,never,2389
2724,private,lpg,frequently,9773
2725,public,,never,1328
2726,public,,never,1478
2727,public,,very frequently,1308
2728,private,diesel,very frequently,3310
2729,walk/bicycle,,never,75
2730,public,,never,1774
2731,private,hybrid,frequently,2910
2732,walk/bicycle,,rarely,98
2733,walk/bicycle,,very frequently,13
2734,public,,frequently,1098
2735,walk/bicycle,,never,0
2736,public,,rarely,854
2737,walk/bicycle,,very frequently,85
2738,walk/bicycle,,very frequently,89
2739,private,hybrid,rarely,7715
2740,walk/bicycle,,never,59
2741,walk/bicycle,,rarely,51
2742,private,petrol,rarely,2553
2743,walk/bicycle,,never,65
2744,public,,very frequently,274
2745,walk/bicycle,,very frequently,50
2746,public,,frequently,219
2747,private,hybrid,frequently,6510
2748,walk/bicycle,,rarely,18
2749,public,,never,1118
2750,public,,rarely,1095
2751,walk/bicycle,,rarely,23
2752,walk/bicycle,,frequently,83
2753,walk/bicycle,,frequently,20
2754,private,hybrid,never,7285
2755,public,,rarely,405
2756,private,petrol,frequently,6743
2757,walk/bicycle,,rarely,8
2758,walk/bicycle,,very frequently,41
2759,public,,frequently,1059
2760,walk/bicycle,,rarely,49
2761,walk/bicycle,,very frequently,26
2762,public,,frequently,1345
2763,walk/bicycle,,very frequently,93
2764,walk/bicycle,,very frequently,0
2765,walk/bicycle,,never,63
2766,walk/bicycle,,never,44
2767,private,petrol,rarely,1025
2768,public,,frequently,265
2769,walk/bicycle,,rarely,59
2770,walk/bicycle,,frequently,60
2771,public,,frequently,1906
2772,private,electric,frequently,6798
2773,public,,very frequently,996
2774,private,diesel,very frequently,3002
2775,walk/bicycle,,never,34
2776,public,,frequently,29
2777,public,,never,525
2778,private,diesel,never,1298
2779,private,petrol,rarely,8881
2780,public,,very frequently,567
2781,public,,frequently,673
2782,walk/bicycle,,never,9
2783,public,,rarely,970
2784,public,,very frequently,541
2785,private,hybrid,very frequently,49
2786,walk/bicycle,,never,51
2787,walk/bicycle,,frequently,80
2788,private,petrol,never,8741
2789,public,,very frequently,1863
2790,walk/bicycle,,very frequently,99
2791,walk/bicycle,,very frequently,23
2792,public,,never,159
2793,public,,very frequently,287
2794,public,,very frequently,1539
2795,private,diesel,very frequently,9828
2796,private,electric,very frequently,3457
2797,public,,rarely,1792
2798,private,petrol,rarely,7934
2799,public,,never,1312
2800,walk/bicycle,,rarely,33
2801,private,diesel,rarely,9242
2802,walk/bicycle,,very frequently,75
2803,private,diesel,never,9704
2804,public,,never,1204
2805,walk/bicycle,,rarely,37
2806,private,diesel,never,7988
2807,public,,very frequently,882
2808,private,lpg,rarely,3194
2809,walk/bicycle,,very frequently,79
2810,public,,never,675
2811,walk/bicycle,,very frequently,85
2812,public,,rarely,648
2813,public,,never,718
2814,public,,never,393
2815,public,,rarely,270
2816,public,,rarely,1638
2817,walk/bicycle,,never,35
2818,public,,very frequently,1423
2819,public,,very frequently,435
2820,walk/bicycle,,rarely,25
2821,public,,rarely,1950
2822,private,lpg,rarely,3654
2823,walk/bicycle,,rarely,74
2824,walk/bicycle,,rarely,72
2825,walk/bicycle,,frequently,57
2826,private,lpg,frequently,370
2827,walk/bicycle,,never,70
2828,private,lpg,never,8001
2829,walk/bicycle,,very frequently,22
2830,public,,never,520
2831,private,electric,frequently,8876
2832,walk/bicycle,,never,44
2833,public,,frequently,402
2834,public,,very frequently,1679
2835,private,diesel,never,7440
2836,private,lpg,very frequently,678
2837,public,,rarely,1319
2838,walk/bicycle,,frequently,15
2839,walk/bicycle,,frequently,6
2840,walk/bicycle,,never,35
2841,private,petrol,very frequently,6683
2842,walk/bicycle,,very frequently,36
2843,private,lpg,never,4195
2844,walk/bicycle,,very frequently,21
2845,public,,never,1798
2846,private,lpg,frequently,4562
2847,public,,rarely,1006
2848,walk/bicycle,,frequently,77
2849,private,hybrid,rarely,4428
2850,public,,rarely,1630
2851,private,hybrid,frequently,9282
2852,private,lpg,never,7025
2853,walk/bicycle,,very frequently,1
2854,private,hybrid,rarely,5321
2855,private,electric,never,7423
2856,walk/bicycle,,rarely,55
2857,public,,frequently,87
2858,private,electric,rarely,4373
2859,private,hybrid,never,7576
2860,walk/bicycle,,rarely,5
2861,walk/bicycle,,very frequently,76
2862,private,diesel,rarely,2468
2863,private,lpg,frequently,8542
2864,walk/bicycle,,frequently,53
2865,private,electric,rarely,9970
2866,public,,frequently,118
2867,private,lpg,never,6040
2868,public,,very frequently,1202
2869,private,lpg,frequently,1943
2870,walk/bicycle,,never,95
2871,walk/bicycle,,very frequently,70
2872,walk/bicycle,,frequently,63
2873,private,petrol,very frequently,2132
2874,walk/bicycle,,never,91
2875,private,petrol,rarely,185
2876,private,petrol,frequently,3674
2877,private,electric,rarely,7643
2878,walk/bicycle,,very frequently,7
2879,private,lpg,very frequently,3237
2880,public,,frequently,1254
2881,walk/bicycle,,very frequently,98
2882,private,lpg,frequently,8451
2883,walk/bicycle,,very frequently,84
2884,public,,frequently,1396
2885,public,,frequently,1703
2886,private,hybrid,rarely,1439
2887,walk/bicycle,,never,30
2888,public,,never,378
2889,walk/bicycle,,rarely,92
2890,public,,rarely,1007
2891,walk/bicycle,,never,63
2892,walk/bicycle,,never,60
2893,private,lpg,very frequently,5498
2894,private,lpg,never,8858
2895,public,,never,879
2896,private,hybrid,never,8590
2897,private,hybrid,very frequently,911
2898,walk/bicycle,,rarely,35
2899,public,,very frequently,1096
2900,walk/bicycle,,frequently,43
2901,public,,frequently,1491
2902,walk/bicycle,,rarely,7
2903,private,hybrid,never,5132
2904,walk/bicycle,,frequently,94
2905,public,,never,30
2906,walk/bicycle,,rarely,56
2907,private,lpg,very frequently,9734
2908,private,electric,rarely,1092
2909,private,petrol,frequently,9363
2910,walk/bicycle,,never,27
2911,walk/bicycle,,very frequently,24
2912,private,electric,very frequently,4407
2913,public,,never,1468
2914,private,diesel,very frequently,5098
2915,private,lpg,rarely,4055
2916,private,petrol,rarely,352
2917,private,electric,rarely,4273
2918,walk/bicycle,,frequently,7
2919,private,lpg,frequently,1769
2920,walk/bicycle,,rarely,43
2921,private,lpg,rarely,6372
2922,public,,never,1251
2923,private,diesel,rarely,6063
2924,private,hybrid,frequently,8744
2925,private,lpg,never,1574
2926,public,,very frequently,1672
2927,walk/bicycle,,never,98
2928,private,diesel,frequently,7287
2929,walk/bicycle,,frequently,29
2930,private,hybrid,very frequently,508
2931,private,electric,rarely,1995
2932,private,lpg,very frequently,1800
2933,walk/bicycle,,frequently,98
2934,walk/bicycle,,frequently,22
2935,private,petrol,very frequently,3913
2936,walk/bicycle,,never,44
2937,public,,never,1598
2938,private,petrol,frequently,5677
2939,walk/bicycle,,never,83
2940,private,electric,never,667
2941,private,diesel,very frequently,7330
2942,walk/bicycle,,rarely,0
2943,walk/bicycle,,frequently,66
2944,walk/bicycle,,never,27
2945,public,,frequently,1981
2946,private,diesel,rarely,5743
2947,public,,frequently,1338
2948,walk/bicycle,,frequently,90
2949,public,,very frequently,1182
2950,public,,very frequently,347
2951,public,,rarely,1286
2952,private,diesel,never,2948
2953,walk/bicycle,,never,53
2954,private,hybrid,never,2677
2955,public,,frequently,626
2956,public,,very frequently,726
2957,public,,frequently,48
2958,private,hybrid,rarely,6711
2959,walk/bicycle,,very frequently,46
2960,walk/bicycle,,frequently,88
2961,walk/bicycle,,rarely,85
2962,walk/bicycle,,frequently,82
2963,public,,frequently,1972
2964,public,,very frequently,1080
2965,private,lpg,very frequently,9670
2966,walk/bicycle,,very frequently,32
2967,walk/bicycle,,very frequently,99
2968,walk/bicycle,,never,85
2969,private,hybrid,very frequently,9996
2970,private,electric,rarely,6992
2971,walk/bicycle,,frequently,72
2972,private,diesel,frequently,4202
2973,private,lpg,never,5546
2974,public,,frequently,1277
2975,walk/bicycle,,never,65
2976,walk/bicycle,,frequently,93
2977,public,,never,263
2978,private,diesel,never,8347
2979,public,,very frequently,1376
2980,walk/bicycle,,never,0
2981,public,,never,870
2982,private,hybrid,rarely,8216
2983,private,petrol,very frequently,3627
2984,walk/bicycle,,never,86
2985,public,,frequently,376
2986,public,,very frequently,820
2987,private,hybrid,rarely,4411
2988,walk/bicycle,,frequently,68
2989,public,,rarely,1777
2990,public,,very frequently,1300
2991,private,diesel,never,5513
2992,public,,rarely,644
2993,walk/bicycle,,never,94
2994,private,petrol,rarely,6804
2995,walk/bicycle,,rarely,54
2996,walk/bicycle,,rarely,49
2997,walk/bicycle,,very frequently,53
2998,private,hybrid,frequently,695
2999,private,petrol,never,1652
3000,private,hybrid,rarely,8271
3001,public,,never,1961
3002,private,lpg,very frequently,885
3003,walk/bicycle,,frequently,93
3004,private,lpg,never,5415
3005,public,,never,390
3006,walk/bicycle,,frequently,64
3007,public,,rarely,30
3008,private,electric,frequently,1776
3009,public,,very frequently,815
3010,private,petrol,frequently,217
3011,private,diesel,rarely,9469
3012,walk/bicycle,,very frequently,77
3013,public,,very frequently,1669
3014,walk/bicycle,,very frequently,94
3015,public,,frequently,847
3016,private,electric,very frequently,6811
3017,private,hybrid,very frequently,779
3018,walk/bicycle,,very frequently,85
3019,walk/bicycle,,rarely,76
3020,private,petrol,very frequently,1992
3021,walk/bicycle,,very frequently,15
3022,walk/bicycle,,rarely,35
3023,walk/bicycle,,rarely,1
3024,walk/bicycle,,very frequently,60
3025,walk/bicycle,,very frequently,69
3026,private,hybrid,rarely,5914
3027,public,,frequently,733
3028,walk/bicycle,,frequently,47
3029,public,,rarely,605
3030,public,,very frequently,614
3031,walk/bicycle,,frequently,49
3032,public,,rarely,1669
3033,walk/bicycle,,rarely,40
3034,public,,rarely,378
3035,walk/bicycle,,rarely,66
3036,walk/bicycle,,rarely,48
3037,private,petrol,rarely,6066
3038,private,lpg,frequently,5869
3039,public,,frequently,586
3040,private,lpg,very frequently,8886
3041,walk/bicycle,,frequently,73
3042,public,,never,1416
3043,private,electric,frequently,574
3044,walk/bicycle,,never,23
3045,public,,never,1256
3046,walk/bicycle,,frequently,24
3047,private,electric,frequently,6393
3048,walk/bicycle,,rarely,91
3049,walk/bicycle,,never,65
3050,walk/bicycle,,never,57
3051,public,,never,1077
3052,walk/bicycle,,very frequently,88
3053,walk/bicycle,,very frequently,26
3054,walk/bicycle,,very frequently,4
3055,private,petrol,rarely,599
3056,public,,rarely,1560
3057,private,diesel,rarely,8667
3058,walk/bicycle,,frequently,44
3059,walk/bicycle,,very frequently,50
3060,public,,very frequently,1155
3061,public,,frequently,1927
3062,public,,frequently,1225
3063,walk/bicycle,,very frequently,97
3064,public,,very frequently,774
3065,private,diesel,rarely,7684
3066,walk/bicycle,,frequently,30
3067,walk/bicycle,,rarely,27
3068,private,petrol,frequently,5781
3069,private,electric,frequently,7427
3070,private,diesel,very frequently,3436
3071,public,,very frequently,1197
3072,private,hybrid,never,6130
3073,public,,never,952
3074,private,electric,frequently,5351
3075,public,,frequently,233
3076,public,,rarely,1960
3077,public,,frequently,465
3078,walk/bicycle,,rarely,23
3079,private,hybrid,very frequently,8052
3080,public,,frequently,1934
3081,walk/bicycle,,frequently,61
3082,private,diesel,frequently,8304
3083,public,,frequently,1529
3084,public,,frequently,1878
3085,public,,rarely,438
3086,private,electric,rarely,9872
3087,private,diesel,very frequently,6741
3088,private,petrol,never,1568
3089,public,,never,866
3090,private,diesel,frequently,4240
3091,walk/bicycle,,very frequently,24
3092,public,,rarely,1550
3093,private,hybrid,never,3477
3094,private,lpg,never,3514
3095,public,,frequently,1601
3096,walk/bicycle,,rarely,86
3097,private,hybrid,frequently,9258
3098,public,,rarely,1328
3099,walk/bicycle,,frequently,92
3100,walk/bicycle,,never,30
3101,private,lpg,never,2537
3102,walk/bicycle,,frequently,87
3103,walk/bicycle,,rarely,20
3104,public,,never,448
3105,public,,frequently,668
3106,walk/bicycle,,very frequently,16
3107,private,lpg,never,7878
3108,private,electric,rarely,7510
3109,private,hybrid,frequently,9513
3110,walk/bicycle,,very frequently,15
3111,public,,frequently,593
3112,public,,never,146
3113,walk/bicycle,,very frequently,76
3114,private,hybrid,rarely,7191
3115,walk/bicycle,,frequently,74
3116,private,hybrid,frequently,6425
3117,private,petrol,frequently,4684
3118,private,lpg,rarely,2217
3119,private,diesel,never,8713
3120,public,,never,614
3121,private,hybrid,never,2703
3122,private,lpg,frequently,7491
3123,private,diesel,rarely,5944
3124,walk/bicycle,,very frequently,17
3125,private,electric,frequently,1824
3126,public,,rarely,580
3127,walk/bicycle,,very frequently,60
3128,walk/bicycle,,never,87
3129,private,petrol,rarely,7874
3130,public,,never,1318
3131,private,diesel,frequently,2851
3132,private,lpg,never,9486
3133,walk/bicycle,,never,96
3134,walk/bicycle,,rarely,25
3135,public,,frequently,583
3136,private,petrol,rarely,5497
3137,walk/bicycle,,rarely,10
3138,private,electric,rarely,9629
3139,private,hybrid,very frequently,9072
3140,walk/bicycle,,frequently,89
3141,private,diesel,never,9318
3142,public,,rarely,963
3143,private,electric,rarely,1308
3144,walk/bicycle,,frequently,28
3145,walk/bicycle,,frequently,3
3146,public,,very frequently,1962
3147,private,lpg,very frequently,1020
3148,walk/bicycle,,never,71
3149,private,electric,never,7107
3150,public,,frequently,911
3151,public,,rarely,1488
3152,walk/bicycle,,rarely,44
3153,private,hybrid,rarely,7375
3154,public,,rarely,842
3155,public,,frequently,1656
3156,public,,never,1686
3157,walk/bicycle,,rarely,69
3158,public,,very frequently,737
3159,private,lpg,very frequently,6260
3160,private,lpg,rarely,3271
3161,private,diesel,frequently,8754
3162,walk/bicycle,,frequently,15
3163,private,petrol,never,8731
3164,public,,frequently,1572
3165,public,,frequently,1004
3166,private,hybrid,very frequently,9936
3167,walk/bicycle,,rarely,87
3168,walk/bicycle,,rarely,10
3169,walk/bicycle,,rarely,8
3170,walk/bicycle,,never,73
3171,public,,frequently,643
3172,public,,frequently,343
3173,walk/bicycle,,frequently,60
3174,walk/bicycle,,very frequently,16
3175,private,lpg,very frequently,9686
3176,private,electric,frequently,5674
3177,public,,never,1425
3178,public,,never,316
3179,private,lpg,never,3881
3180,private,lpg,rarely,1019
3181,private,hybrid,frequently,2825
3182,walk/bicycle,,rarely,87
3183,walk/bicycle,,rarely,56
3184,public,,rarely,1427
3185,private,lpg,frequently,5380
3186,public,,frequently,880
3187,public,,frequently,1488
3188,walk/bicycle,,very frequently,55
3189,walk/bicycle,,very frequently,37
3190,walk/bicycle,,very frequently,7
3191,private,lpg,very frequently,9664
3192,walk/bicycle,,never,50
3193,private,lpg,rarely,1363
3194,public,,rarely,1664
3195,public,,rarely,1110
3196,private,lpg,never,7243
3197,public,,frequently,337
3198,walk/bicycle,,frequently,88
3199,private,petrol,very frequently,8977
3200,walk/bicycle,,rarely,64
3201,walk/bicycle,,very frequently,50
3202,walk/bicycle,,very frequently,95
3203,private,hybrid,very frequently,4842
3204,walk/bicycle,,frequently,60
3205,public,,very frequently,1436
3206,private,petrol,frequently,7300
3207,walk/bicycle,,frequently,18
3208,public,,never,1153
3209,private,diesel,very frequently,1335
3210,walk/bicycle,,never,65
3211,public,,never,1783
3212,walk/bicycle,,very frequently,31
3213,public,,frequently,309
3214,public,,very frequently,1894
3215,private,hybrid,rarely,8111
3216,private,hybrid,very frequently,3825
3217,public,,never,1424
3218,private,hybrid,very frequently,4685
3219,public,,never,446
3220,private,hybrid,very frequently,6808
3221,private,lpg,frequently,6469
3222,public,,very frequently,1735
3223,public,,never,93
3224,walk/bicycle,,rarely,15
3225,private,electric,never,8848
3226,walk/bicycle,,never,11
3227,public,,frequently,1690
3228,public,,frequently,1724
3229,walk/bicycle,,rarely,95
3230,private,hybrid,never,5902
3231,walk/bicycle,,never,3
3232,private,electric,very frequently,2883
3233,walk/bicycle,,rarely,12
3234,walk/bicycle,,very frequently,51
3235,walk/bicycle,,rarely,30
3236,walk/bicycle,,very frequently,11
3237,private,petrol,frequently,2829
3238,private,electric,never,8948
3239,public,,never,137
3240,public,,very frequently,743
3241,private,diesel,frequently,553
3242,private,diesel,very frequently,180
3243,public,,rarely,453
3244,public,,frequently,1400
3245,walk/bicycle,,rarely,42
3246,walk/bicycle,,rarely,73
3247,walk/bicycle,,very frequently,43
3248,private,electric,rarely,9514
3249,walk/bicycle,,rarely,74
3250,private,lpg,never,3147
3251,walk/bicycle,,very frequently,6
3252,walk/bicycle,,never,85
3253,walk/bicycle,,never,46
3254,walk/bicycle,,frequently,37
3255,private,hybrid,frequently,9408
3256,walk/bicycle,,never,57
3257,walk/bicycle,,frequently,22
3258,public,,rarely,243
3259,private,electric,very frequently,122
3260,public,,very frequently,1030
3261,walk/bicycle,,frequently,20
3262,private,diesel,frequently,3428
3263,walk/bicycle,,never,48
3264,walk/bicycle,,never,31
3265,private,diesel,rarely,1122
3266,public,,rarely,379
3267,private,petrol,very frequently,6645
3268,private,petrol,frequently,8241
3269,walk/bicycle,,never,33
3270,private,petrol,frequently,1262
3271,public,,very frequently,1777
3272,public,,frequently,1794
3273,public,,very frequently,420
3274,walk/bicycle,,rarely,96
3275,walk/bicycle,,never,57
3276,private,petrol,rarely,3362
3277,public,,never,1451
3278,walk/bicycle,,rarely,36
3279,private,lpg,very frequently,1955
3280,walk/bicycle,,never,68
3281,walk/bicycle,,very frequently,92
3282,walk/bicycle,,very frequently,55
3283,private,lpg,very frequently,9895
3284,public,,rarely,1219
3285,private,petrol,frequently,2972
3286,private,electric,never,1246
3287,walk/bicycle,,rarely,52
3288,walk/bicycle,,very frequently,34
3289,walk/bicycle,,never,42
3290,public,,very frequently,296
3291,private,hybrid,very frequently,9832
3292,walk/bicycle,,rarely,50
3293,walk/bicycle,,very frequently,2
3294,walk/bicycle,,very frequently,6
3295,walk/bicycle,,never,24
3296,walk/bicycle,,frequently,32
3297,private,lpg,very frequently,9071
3298,private,lpg,very frequently,1617
3299,walk/bicycle,,rarely,54
3300,private,petrol,very frequently,9385
3301,public,,never,432
3302,public,,frequently,26
3303,private,petrol,rarely,4195
3304,private,diesel,very frequently,9346
3305,public,,never,1364
3306,walk/bicycle,,rarely,64
3307,walk/bicycle,,frequently,74
3308,public,,never,448
3309,private,diesel,very frequently,8975
3310,private,electric,very frequently,661
3311,private,lpg,rarely,2148
3312,walk/bicycle,,very frequently,95
3313,private,lpg,frequently,7893
3314,private,hybrid,rarely,8691
3315,public,,very frequently,1159
3316,walk/bicycle,,rarely,13
3317,public,,frequently,1798
3318,walk/bicycle,,very frequently,67
3319,public,,very frequently,1660
3320,public,,frequently,654
3321,private,diesel,very frequently,9722
3322,public,,rarely,1263
3323,public,,rarely,600
3324,walk/bicycle,,rarely,8
3325,public,,rarely,1536
3326,walk/bicycle,,never,50
3327,walk/bicycle,,very frequently,66
3328,public,,never,1601
3329,private,electric,never,6022
3330,private,electric,very frequently,6826
3331,private,lpg,never,9839
3332,public,,frequently,618
