ID,Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
3234,overweight,male,pescatarian,less frequently,wood,walk/bicycle,,never,204,very frequently,51,large,4,22,18,10,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],2592
3235,normal,male,vegetarian,twice a day,natural gas,walk/bicycle,,never,192,rarely,30,extra large,2,7,8,8,No,"['Glass', 'Metal']","['Grill', 'Airfryer']",1148
3236,overweight,male,pescatarian,twice a day,natural gas,walk/bicycle,,never,290,very frequently,11,extra large,6,16,15,23,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",3194
3237,overweight,male,vegan,more frequently,electricity,private,petrol,sometimes,195,frequently,2829,small,7,13,2,5,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2573
3238,obese,female,vegetarian,twice a day,coal,private,electric,never,280,never,8948,large,5,23,6,11,Yes,"['Glass', 'Metal']",[],1460
3239,obese,female,omnivore,less frequently,wood,public,,often,291,never,137,medium,4,7,35,14,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1858
3240,obese,male,omnivore,less frequently,coal,public,,often,177,very frequently,743,large,7,11,6,16,Yes,['Glass'],"['Oven', 'Microwave']",3929
3241,overweight,male,vegan,less frequently,wood,private,diesel,never,188,frequently,553,extra large,3,4,14,0,Sometimes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1929
3242,obese,male,vegetarian,less frequently,wood,private,diesel,never,126,very frequently,180,small,4,18,39,0,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",3227
3243,obese,female,omnivore,less frequently,coal,public,,often,283,rarely,453,extra large,5,3,8,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2305
3244,obese,male,vegetarian,more frequently,natural gas,public,,never,241,frequently,1400,extra large,3,4,47,4,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2743
3245,underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,never,59,rarely,42,medium,6,4,19,16,No,['Paper'],['Oven'],1442
3246,normal,female,omnivore,twice a day,natural gas,walk/bicycle,,never,72,rarely,73,large,6,7,46,4,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",1576
3247,underweight,male,omnivore,twice a day,electricity,walk/bicycle,,often,282,very frequently,43,medium,4,7,10,19,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven']",2469
3248,underweight,male,pescatarian,twice a day,wood,private,electric,never,211,rarely,9514,small,5,23,48,9,Sometimes,"['Paper', 'Plastic']",['Stove'],1616
3249,obese,female,omnivore,twice a day,wood,walk/bicycle,,never,148,rarely,74,extra large,1,12,35,3,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1714
3250,underweight,male,vegan,more frequently,electricity,private,lpg,never,57,never,3147,medium,1,3,46,21,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],1626
3251,normal,male,vegetarian,twice a day,coal,walk/bicycle,,never,201,very frequently,6,large,4,3,6,17,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2662
3252,obese,male,omnivore,less frequently,electricity,walk/bicycle,,never,154,never,85,small,2,2,2,20,Yes,"['Paper', 'Plastic', 'Glass']",['Stove'],485
3253,underweight,female,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,265,never,46,small,4,11,6,9,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",623
3254,obese,female,vegetarian,daily,natural gas,walk/bicycle,,sometimes,141,frequently,37,large,4,15,11,14,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1867
3255,obese,male,omnivore,daily,electricity,private,hybrid,never,160,frequently,9408,large,7,21,23,7,No,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",4787
3256,underweight,female,omnivore,daily,coal,walk/bicycle,,never,155,never,57,small,6,19,37,24,Yes,"['Paper', 'Metal']",['Oven'],1233
3257,underweight,female,vegan,less frequently,coal,walk/bicycle,,often,161,frequently,22,large,6,8,45,10,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2293
3258,underweight,female,omnivore,less frequently,coal,public,,never,242,rarely,243,medium,3,17,24,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1206
3259,normal,male,omnivore,twice a day,natural gas,private,electric,often,186,very frequently,122,medium,3,7,2,19,Sometimes,"['Glass', 'Metal']","['Stove', 'Oven']",2474
3260,underweight,female,pescatarian,more frequently,wood,public,,never,198,very frequently,1030,extra large,1,7,3,14,Sometimes,"['Plastic', 'Glass']","['Grill', 'Airfryer']",1922
3261,normal,female,omnivore,daily,wood,walk/bicycle,,sometimes,279,frequently,20,extra large,5,17,41,22,No,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2672
3262,overweight,male,pescatarian,less frequently,natural gas,private,diesel,sometimes,90,frequently,3428,medium,3,3,19,21,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2679
3263,obese,male,omnivore,less frequently,wood,walk/bicycle,,sometimes,222,never,48,large,4,7,12,15,Yes,['Glass'],"['Grill', 'Airfryer']",1908
3264,overweight,male,omnivore,more frequently,electricity,walk/bicycle,,sometimes,297,never,31,large,2,0,12,17,Yes,"['Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1264
3265,underweight,female,vegan,daily,wood,private,diesel,sometimes,105,rarely,1122,extra large,2,11,10,11,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave']",1302
3266,overweight,female,omnivore,twice a day,natural gas,public,,often,148,rarely,379,large,1,8,22,18,Yes,"['Paper', 'Metal']",['Oven'],1353
3267,normal,male,omnivore,more frequently,coal,private,petrol,sometimes,284,very frequently,6645,large,6,19,33,2,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",6160
3268,underweight,male,pescatarian,twice a day,coal,private,petrol,often,248,frequently,8241,small,6,23,5,18,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",4680
3269,normal,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,73,never,33,small,3,8,43,1,Yes,[],['Stove'],960
3270,underweight,female,pescatarian,daily,coal,private,petrol,often,87,frequently,1262,large,5,4,6,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",2032
3271,overweight,male,pescatarian,twice a day,wood,public,,never,175,very frequently,1777,small,5,14,9,22,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",2930
3272,normal,male,omnivore,twice a day,natural gas,public,,sometimes,150,frequently,1794,extra large,5,7,18,19,No,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],2288
3273,overweight,female,vegetarian,less frequently,coal,public,,never,65,very frequently,420,large,4,6,24,2,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",2808
3274,overweight,male,omnivore,less frequently,wood,walk/bicycle,,sometimes,88,rarely,96,large,4,24,30,11,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1673
3275,underweight,female,omnivore,less frequently,wood,walk/bicycle,,never,127,never,57,medium,2,14,49,16,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",991
3276,overweight,male,omnivore,daily,wood,private,petrol,sometimes,83,rarely,3362,extra large,7,19,3,0,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",3301
3277,obese,male,vegan,daily,natural gas,public,,never,112,never,1451,small,4,5,24,21,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1210
3278,overweight,female,vegetarian,more frequently,coal,walk/bicycle,,never,243,rarely,36,extra large,2,13,38,11,Sometimes,['Glass'],"['Stove', 'Oven']",1917
3279,overweight,female,omnivore,less frequently,wood,private,lpg,sometimes,173,very frequently,1955,large,4,24,18,15,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",3268
3280,normal,male,pescatarian,less frequently,natural gas,walk/bicycle,,sometimes,260,never,68,extra large,3,21,40,21,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1725
3281,normal,female,vegan,less frequently,electricity,walk/bicycle,,sometimes,72,very frequently,92,extra large,4,18,3,0,No,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1841
3282,normal,female,vegan,daily,electricity,walk/bicycle,,often,255,very frequently,55,medium,1,19,2,21,No,['Glass'],"['Stove', 'Oven']",1853
3283,overweight,male,omnivore,daily,natural gas,private,lpg,often,75,very frequently,9895,large,6,17,4,9,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",5935
3284,overweight,male,vegan,twice a day,coal,public,,never,243,rarely,1219,large,5,10,46,4,Yes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",2382
3285,underweight,female,pescatarian,less frequently,coal,private,petrol,never,244,frequently,2972,small,5,17,16,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2635
3286,normal,female,pescatarian,twice a day,electricity,private,electric,often,138,never,1246,extra large,2,10,33,12,No,['Paper'],"['Stove', 'Oven']",1141
3287,underweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,often,232,rarely,52,medium,1,12,43,22,No,"['Paper', 'Plastic', 'Metal']",['Oven'],1460
3288,obese,female,vegetarian,twice a day,electricity,walk/bicycle,,often,131,very frequently,34,small,6,20,15,6,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1991
3289,obese,female,vegan,twice a day,wood,walk/bicycle,,often,113,never,42,medium,3,20,1,7,No,"['Paper', 'Glass', 'Metal']",['Oven'],783
3290,obese,male,vegan,twice a day,natural gas,public,,sometimes,177,very frequently,296,medium,7,2,30,19,Yes,[],[],3536
3291,overweight,female,omnivore,less frequently,electricity,private,hybrid,sometimes,253,very frequently,9832,small,5,15,17,0,Yes,"['Plastic', 'Glass']","['Stove', 'Oven']",3738
3292,overweight,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,107,rarely,50,medium,3,8,43,14,Yes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1650
3293,underweight,female,omnivore,daily,wood,walk/bicycle,,never,262,very frequently,2,small,6,1,1,19,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1959
3294,overweight,female,pescatarian,more frequently,electricity,walk/bicycle,,sometimes,206,very frequently,6,extra large,7,6,19,20,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2986
3295,obese,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,212,never,24,medium,6,9,32,14,No,[],['Stove'],2033
3296,normal,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,276,frequently,32,medium,6,18,16,14,Yes,['Plastic'],"['Stove', 'Microwave']",2176
3297,underweight,female,omnivore,less frequently,electricity,private,lpg,sometimes,178,very frequently,9071,medium,4,23,11,14,No,['Plastic'],['Microwave'],4050
3298,normal,male,vegan,more frequently,coal,private,lpg,never,187,very frequently,1617,medium,4,13,14,12,Sometimes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",2947
3299,normal,female,pescatarian,more frequently,wood,walk/bicycle,,often,58,rarely,54,large,4,5,9,14,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1070
3300,normal,male,vegan,twice a day,electricity,private,petrol,never,257,very frequently,9385,medium,2,10,41,3,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],5449
3301,obese,male,pescatarian,less frequently,electricity,public,,sometimes,205,never,432,medium,4,23,17,12,No,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1159
3302,normal,male,omnivore,daily,wood,public,,sometimes,84,frequently,26,medium,3,24,45,3,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",2011
3303,obese,male,vegan,daily,wood,private,petrol,sometimes,166,rarely,4195,medium,2,21,43,5,Yes,"['Paper', 'Metal']",['Oven'],3422
3304,normal,male,pescatarian,more frequently,natural gas,private,diesel,never,99,very frequently,9346,medium,1,20,14,2,No,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",4401
3305,overweight,male,omnivore,more frequently,coal,public,,sometimes,108,never,1364,extra large,1,16,17,22,Sometimes,"['Paper', 'Plastic', 'Glass']",['Microwave'],1484
3306,overweight,male,vegan,more frequently,wood,walk/bicycle,,often,130,rarely,64,medium,5,14,6,15,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1520
3307,normal,male,vegan,twice a day,electricity,walk/bicycle,,often,171,frequently,74,extra large,2,24,42,20,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2079
3308,overweight,female,omnivore,more frequently,natural gas,public,,often,100,never,448,large,3,18,43,10,Yes,"['Paper', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1586
3309,overweight,male,pescatarian,twice a day,wood,private,diesel,sometimes,120,very frequently,8975,large,3,6,30,13,No,"['Plastic', 'Glass', 'Metal']",['Stove'],5477
3310,obese,male,vegetarian,less frequently,electricity,private,electric,never,180,very frequently,661,small,1,4,21,8,Yes,"['Plastic', 'Glass']",['Microwave'],2207
3311,obese,male,vegetarian,less frequently,natural gas,private,lpg,often,190,rarely,2148,large,2,18,12,21,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2389
3312,normal,male,vegetarian,daily,coal,walk/bicycle,,never,293,very frequently,95,extra large,2,20,8,18,No,"['Plastic', 'Glass']","['Stove', 'Oven']",2716
3313,normal,female,pescatarian,twice a day,coal,private,lpg,sometimes,64,frequently,7893,small,5,19,48,6,Yes,['Plastic'],"['Oven', 'Microwave']",3923
3314,underweight,female,vegetarian,daily,coal,private,hybrid,often,183,rarely,8691,large,1,5,26,1,Yes,['Metal'],['Oven'],2421
3315,underweight,female,pescatarian,less frequently,natural gas,public,,sometimes,230,very frequently,1159,large,3,4,18,20,Sometimes,['Paper'],"['Stove', 'Grill', 'Airfryer']",2334
3316,obese,female,vegan,more frequently,coal,walk/bicycle,,often,209,rarely,13,small,4,11,26,20,No,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1866
3317,underweight,male,vegetarian,more frequently,coal,public,,never,176,frequently,1798,medium,4,7,0,24,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",1680
3318,underweight,male,vegan,less frequently,coal,walk/bicycle,,never,180,very frequently,67,extra large,2,13,48,7,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2958
3319,obese,male,vegetarian,twice a day,electricity,public,,sometimes,100,very frequently,1660,extra large,2,1,38,0,Yes,"['Paper', 'Metal']",['Stove'],2701
3320,normal,female,pescatarian,more frequently,coal,public,,often,238,frequently,654,large,2,10,4,21,Yes,['Glass'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1877
3321,obese,female,vegan,twice a day,wood,private,diesel,often,166,very frequently,9722,small,3,14,21,16,No,"['Paper', 'Glass']","['Oven', 'Grill', 'Airfryer']",5186
3322,obese,female,vegetarian,twice a day,wood,public,,sometimes,201,rarely,1263,large,1,16,47,13,Yes,"['Plastic', 'Glass', 'Metal']",['Microwave'],1644
3323,normal,female,pescatarian,more frequently,coal,public,,sometimes,263,rarely,600,medium,1,7,0,13,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1152
3324,underweight,male,pescatarian,less frequently,wood,walk/bicycle,,often,286,rarely,8,medium,3,22,40,14,Sometimes,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1611
3325,underweight,male,omnivore,twice a day,wood,public,,never,214,rarely,1536,extra large,7,9,50,6,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2579
3326,overweight,female,vegan,daily,electricity,walk/bicycle,,often,113,never,50,small,4,3,7,5,No,"['Plastic', 'Metal']","['Stove', 'Oven']",590
3327,obese,male,vegan,twice a day,wood,walk/bicycle,,sometimes,73,very frequently,66,large,4,15,21,7,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",3093
3328,normal,male,vegetarian,more frequently,natural gas,public,,often,243,never,1601,large,3,9,31,23,Yes,"['Paper', 'Metal']","['Oven', 'Microwave']",1647
3329,obese,male,vegan,more frequently,natural gas,private,electric,never,74,never,6022,extra large,6,24,12,20,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",2002
3330,obese,female,omnivore,daily,electricity,private,electric,sometimes,212,very frequently,6826,large,7,0,26,18,Yes,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",3197
3331,underweight,male,vegan,more frequently,coal,private,lpg,never,238,never,9839,small,2,10,37,4,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3931
3332,normal,male,vegan,more frequently,electricity,public,,often,232,frequently,618,extra large,4,9,17,24,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2166
3333,overweight,male,pescatarian,more frequently,electricity,private,electric,never,132,rarely,6775,small,3,11,29,21,No,"['Paper', 'Metal']",['Oven'],1172
3334,underweight,male,pescatarian,more frequently,natural gas,private,hybrid,sometimes,275,never,5792,medium,1,3,19,20,Yes,"['Plastic', 'Glass', 'Metal']",[],1846
3335,normal,female,vegetarian,twice a day,coal,walk/bicycle,,never,166,never,88,extra large,3,14,0,23,No,[],"['Oven', 'Grill', 'Airfryer']",1351
3336,obese,female,vegetarian,twice a day,electricity,walk/bicycle,,often,50,rarely,39,small,2,24,20,6,Yes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",803
3337,underweight,male,omnivore,daily,electricity,walk/bicycle,,never,166,never,68,small,3,20,41,12,No,"['Glass', 'Metal']","['Grill', 'Airfryer']",1098
3338,underweight,female,vegetarian,less frequently,coal,public,,often,253,frequently,1824,large,3,18,11,15,No,"['Paper', 'Plastic', 'Metal']",['Microwave'],1761
3339,underweight,male,vegan,daily,coal,private,electric,sometimes,88,rarely,6775,small,7,10,27,24,Sometimes,['Glass'],"['Oven', 'Microwave']",1808
3340,normal,female,vegan,daily,electricity,walk/bicycle,,never,173,very frequently,90,medium,3,15,29,9,Yes,['Metal'],['Microwave'],1873
3341,overweight,female,vegetarian,more frequently,wood,private,electric,often,253,rarely,1315,medium,5,16,7,10,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1153
3342,normal,female,pescatarian,twice a day,wood,walk/bicycle,,never,165,frequently,94,medium,3,24,31,8,No,"['Glass', 'Metal']",['Microwave'],1637
3343,underweight,female,omnivore,daily,coal,public,,often,109,very frequently,1931,large,3,20,11,13,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2245
3344,normal,female,pescatarian,less frequently,wood,public,,sometimes,157,frequently,465,medium,6,9,32,6,No,['Metal'],['Stove'],1942
3345,overweight,female,omnivore,twice a day,wood,public,,never,267,frequently,766,large,7,16,30,20,No,[],['Oven'],2836
3346,overweight,male,pescatarian,daily,coal,walk/bicycle,,often,85,frequently,44,small,2,16,1,14,No,['Paper'],"['Oven', 'Grill', 'Airfryer']",1928
3347,normal,female,vegan,daily,natural gas,public,,often,151,rarely,1740,extra large,6,13,25,5,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1788
3348,obese,female,pescatarian,less frequently,coal,public,,sometimes,298,never,1168,large,5,2,19,16,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1887
3349,overweight,male,pescatarian,daily,coal,walk/bicycle,,never,259,frequently,62,medium,5,7,42,17,Yes,['Glass'],"['Stove', 'Oven', 'Microwave']",2983
3350,normal,male,pescatarian,daily,electricity,walk/bicycle,,never,253,never,54,large,7,19,19,6,Sometimes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1522
3351,normal,female,pescatarian,more frequently,natural gas,private,petrol,never,216,rarely,8921,small,5,22,35,10,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",4184
3352,obese,female,vegetarian,twice a day,electricity,walk/bicycle,,never,94,never,32,extra large,4,11,2,17,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",737
3353,normal,male,pescatarian,daily,natural gas,public,,sometimes,147,rarely,674,medium,2,12,5,9,No,['Metal'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1256
3354,overweight,female,omnivore,daily,wood,walk/bicycle,,never,123,rarely,4,medium,6,11,25,19,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1756
3355,normal,male,vegan,less frequently,coal,walk/bicycle,,sometimes,124,rarely,13,small,7,12,36,14,Sometimes,['Metal'],[],1747
3356,obese,male,vegetarian,less frequently,electricity,private,lpg,often,201,rarely,3929,medium,1,20,3,9,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2020
3357,normal,male,vegan,more frequently,wood,public,,never,98,rarely,455,extra large,6,15,23,23,Sometimes,"['Paper', 'Glass', 'Metal']",['Microwave'],1740
3358,normal,male,vegan,daily,electricity,public,,often,52,rarely,795,medium,1,12,47,7,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1281
3359,underweight,female,omnivore,daily,coal,walk/bicycle,,often,87,frequently,83,large,4,11,15,9,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1809
3360,overweight,female,pescatarian,daily,wood,private,electric,sometimes,281,rarely,7298,large,2,1,44,21,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",1968
3361,normal,male,vegetarian,twice a day,coal,walk/bicycle,,sometimes,97,never,90,medium,4,5,25,1,Yes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1332
3362,normal,female,vegetarian,more frequently,coal,walk/bicycle,,sometimes,251,never,93,large,4,23,16,20,Yes,['Glass'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1491
3363,overweight,male,omnivore,more frequently,wood,walk/bicycle,,sometimes,246,rarely,43,extra large,5,12,7,12,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2062
3364,normal,male,vegetarian,more frequently,coal,walk/bicycle,,often,107,never,10,extra large,6,20,2,6,No,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1819
3365,overweight,male,omnivore,more frequently,wood,public,,never,147,never,451,small,7,21,31,12,Yes,"['Plastic', 'Metal']","['Oven', 'Microwave']",1615
3366,overweight,male,pescatarian,daily,coal,walk/bicycle,,sometimes,175,never,92,large,1,10,36,9,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",1560
3367,overweight,male,pescatarian,more frequently,electricity,public,,never,268,never,824,medium,4,18,17,3,No,"['Paper', 'Metal']","['Oven', 'Microwave']",1140
3368,normal,female,omnivore,less frequently,coal,private,hybrid,often,145,never,6011,medium,1,14,34,8,Sometimes,"['Glass', 'Metal']",['Microwave'],2152
3369,normal,female,pescatarian,less frequently,electricity,walk/bicycle,,often,171,never,8,medium,4,7,8,2,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",774
3370,obese,male,vegetarian,twice a day,natural gas,private,electric,often,237,never,6580,large,2,16,3,17,No,['Metal'],[],1379
3371,overweight,male,pescatarian,daily,electricity,private,electric,sometimes,262,rarely,3694,large,4,1,10,20,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",1511
3372,normal,female,pescatarian,more frequently,coal,public,,never,171,frequently,287,extra large,6,2,7,8,Yes,"['Paper', 'Glass']","['Stove', 'Grill', 'Airfryer']",1910
3373,obese,female,vegan,daily,coal,walk/bicycle,,never,257,never,87,extra large,3,20,15,5,No,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",1517
3374,overweight,female,omnivore,twice a day,natural gas,walk/bicycle,,never,164,never,88,small,5,17,41,9,Yes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",1556
3375,overweight,male,vegan,more frequently,electricity,private,hybrid,often,160,rarely,7368,extra large,3,13,2,16,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2584
3376,overweight,female,vegetarian,more frequently,coal,walk/bicycle,,sometimes,70,frequently,51,medium,5,3,3,1,Yes,[],"['Stove', 'Grill', 'Airfryer']",1857
3377,overweight,male,vegetarian,less frequently,electricity,public,,often,131,very frequently,1185,medium,4,19,15,16,No,"['Glass', 'Metal']",['Microwave'],2592
3378,normal,male,vegan,daily,wood,walk/bicycle,,sometimes,153,never,19,extra large,2,23,41,9,Sometimes,"['Paper', 'Glass']",['Stove'],1354
3379,normal,male,vegetarian,daily,coal,private,hybrid,never,299,never,5267,extra large,6,7,44,16,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",3376
3380,underweight,female,pescatarian,less frequently,natural gas,private,hybrid,often,222,very frequently,5321,medium,2,16,44,24,No,['Paper'],"['Stove', 'Grill', 'Airfryer']",3386
3381,normal,female,vegetarian,less frequently,wood,walk/bicycle,,never,116,never,52,large,1,15,33,4,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave']",920
3382,normal,female,pescatarian,less frequently,coal,walk/bicycle,,never,143,rarely,69,large,3,8,32,21,Sometimes,"['Paper', 'Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",1484
3383,obese,male,vegetarian,daily,wood,public,,sometimes,201,very frequently,1759,medium,3,17,1,23,Sometimes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",2861
3384,obese,female,omnivore,twice a day,electricity,walk/bicycle,,never,229,frequently,81,large,5,8,22,6,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2064
3385,normal,male,vegan,less frequently,natural gas,walk/bicycle,,often,299,rarely,98,extra large,7,14,11,11,No,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2132
3386,obese,male,vegan,less frequently,electricity,public,,often,191,never,118,extra large,2,7,7,0,No,"['Plastic', 'Metal']",['Microwave'],865
3387,overweight,male,pescatarian,daily,wood,public,,sometimes,194,frequently,192,extra large,4,22,11,22,Sometimes,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2436
3388,underweight,male,vegan,daily,electricity,public,,never,182,frequently,1843,large,3,24,14,18,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1757
3389,overweight,male,vegetarian,daily,coal,private,electric,sometimes,109,frequently,1635,large,3,12,26,24,Yes,['Glass'],[],2501
3390,overweight,male,vegetarian,twice a day,wood,public,,often,158,very frequently,1464,extra large,3,8,0,21,Sometimes,"['Paper', 'Glass']","['Stove', 'Microwave']",2753
